PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_shared_from_mouse.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
19605	chr2	26345657	26346917	+	0	NA	NA	NA	NA	NA								
31661	chr6	108656280	108657543	+	0	NA	NA	NA	NA	NA								
8978	chr12	50166755	50167760	+	0	NA	NA	NA	NA	NA								
31621	chr6	106979439	106979685	+	0	NA	NA	NA	NA	NA								
30980	chr6	38702389	38703393	+	0	NA	NA	NA	NA	NA								
7029	chr11	62880490	62881511	+	0	NA	NA	NA	NA	NA								
17578	chr18	35581004	35582553	+	0	NA	NA	NA	NA	NA								
32778	chr7	39950940	39952127	+	0	NA	NA	NA	NA	NA								
2737	chr1	159854304	159855439	+	0	NA	NA	NA	NA	NA								
2008	chr1	100463429	100464422	+	0	NA	NA	NA	NA	NA								
36409	chr9	99905986	99907398	+	0	NA	NA	NA	NA	NA								
10107	chr12	113259420	113260068	+	0	NA	NA	NA	NA	NA								
33592	chr7	122885540	122885980	+	0	NA	NA	NA	NA	NA								
15643	chr17	16217051	16217815	+	0	NA	NA	NA	NA	NA								
1946	chr1	95072382	95073506	+	0	NA	NA	NA	NA	NA								
8284	chr11	130313896	130315593	+	0	NA	NA	NA	NA	NA								
29633	chr5	135560827	135561567	+	0	NA	NA	NA	NA	NA								
1942	chr1	95043558	95044022	+	0	NA	NA	NA	NA	NA								
18987	chr19	45496367	45497406	+	0	NA	NA	NA	NA	NA								
19216	chr19	51339721	51340181	+	0	NA	NA	NA	NA	NA								
12419	chr14	90382713	90384493	+	0	NA	NA	NA	NA	NA								
29991	chr5	150130006	150130280	+	0	NA	NA	NA	NA	NA								
3481	chr1	204446392	204446982	+	0	NA	NA	NA	NA	NA								
34996	chr8	100309126	100310808	+	0	NA	NA	NA	NA	NA								
10809	chr13	49791802	49793246	+	0	NA	NA	NA	NA	NA								
2945	chr1	168225774	168227152	+	0	NA	NA	NA	NA	NA								
16376	chr17	49191690	49193753	+	0	NA	NA	NA	NA	NA								
35013	chr8	100721983	100723060	+	0	NA	NA	NA	NA	NA								
21701	chr2	215680889	215681618	+	0	NA	NA	NA	NA	NA								
20382	chr2	74506897	74507529	+	0	NA	NA	NA	NA	NA								
27072	chr4	39044156	39045745	+	0	NA	NA	NA	NA	NA								
28717	chr5	52989008	52990018	+	0	NA	NA	NA	NA	NA								
17095	chr17	77995018	77995739	+	0	NA	NA	NA	NA	NA								
5679	chr10	110852146	110852930	+	0	NA	NA	NA	NA	NA								
16691	chr17	60677032	60678321	+	0	NA	NA	NA	NA	NA								
24900	chr3	50350676	50351603	+	0	NA	NA	NA	NA	NA								
3400	chr1	202348338	202349514	+	0	NA	NA	NA	NA	NA								
425	chr1	20480298	20480632	+	0	NA	NA	NA	NA	NA								
30634	chr6	13486796	13488670	+	0	NA	NA	NA	NA	NA								
8275	chr11	130002747	130003922	+	0	NA	NA	NA	NA	NA								
13293	chr15	64774712	64775861	+	0	NA	NA	NA	NA	NA								
3338	chr1	200738354	200740211	+	0	NA	NA	NA	NA	NA								
31280	chr6	52576459	52577735	+	0	NA	NA	NA	NA	NA								
2917	chr1	167600064	167600555	+	0	NA	NA	NA	NA	NA								
7199	chr11	65780800	65781922	+	0	NA	NA	NA	NA	NA								
7970	chr11	118435895	118436751	+	0	NA	NA	NA	NA	NA								
17585	chr18	36128962	36130308	+	0	NA	NA	NA	NA	NA								
32785	chr7	41414979	41415470	+	0	NA	NA	NA	NA	NA								
27240	chr4	54064108	54065063	+	0	NA	NA	NA	NA	NA								
29432	chr5	123422797	123423981	+	0	NA	NA	NA	NA	NA								
28196	chr4	159248770	159249099	+	0	NA	NA	NA	NA	NA								
10019	chr12	109476953	109478168	+	0	NA	NA	NA	NA	NA								
23654	chr22	24513832	24514964	+	0	NA	NA	NA	NA	NA								
35803	chr9	32550064	32551747	+	0	NA	NA	NA	NA	NA								
15442	chr17	7239206	7239993	+	0	NA	NA	NA	NA	NA								
25218	chr3	66442336	66443527	+	0	NA	NA	NA	NA	NA								
10398	chr12	128817592	128818138	+	0	NA	NA	NA	NA	NA								
5788	chr10	114876080	114877593	+	0	NA	NA	NA	NA	NA								
2059	chr1	108691914	108693691	+	0	NA	NA	NA	NA	NA								
26905	chr4	15654567	15656330	+	0	NA	NA	NA	NA	NA								
13664	chr15	83065740	83067961	+	0	NA	NA	NA	NA	NA								
8661	chr12	21774513	21775114	+	0	NA	NA	NA	NA	NA								
34302	chr8	23692222	23692953	+	0	NA	NA	NA	NA	NA								
16933	chr17	74775563	74776749	+	0	NA	NA	NA	NA	NA								
13624	chr15	80776498	80776957	+	0	NA	NA	NA	NA	NA								
4131	chr10	134586	137093	+	0	NA	NA	NA	NA	NA								
6267	chr11	12834003	12834469	+	0	NA	NA	NA	NA	NA								
30649	chr6	13760979	13761870	+	0	NA	NA	NA	NA	NA								
33082	chr7	90210945	90212558	+	0	NA	NA	NA	NA	NA								
2248	chr1	113978714	113979074	+	0	NA	NA	NA	NA	NA								
7740	chr11	100686675	100688095	+	0	NA	NA	NA	NA	NA								
17969	chr19	1438261	1438794	+	0	NA	NA	NA	NA	NA								
14672	chr16	56729735	56730751	+	0	NA	NA	NA	NA	NA								
17929	chr18	80246953	80247887	+	0	NA	NA	NA	NA	NA								
27732	chr4	107862435	107863447	+	0	NA	NA	NA	NA	NA								
24695	chr3	46565500	46566366	+	0	NA	NA	NA	NA	NA								
21136	chr2	168118695	168119198	+	0	NA	NA	NA	NA	NA								
16846	chr17	68512273	68513494	+	0	NA	NA	NA	NA	NA								
9010	chr12	51424679	51425346	+	0	NA	NA	NA	NA	NA								
37274	chrX	24395806	24396128	+	0	NA	NA	NA	NA	NA								
24123	chr22	46542186	46542785	+	0	NA	NA	NA	NA	NA								
7893	chr11	116276198	116277117	+	0	NA	NA	NA	NA	NA								
24163	chr22	50342022	50342621	+	0	NA	NA	NA	NA	NA								
4381	chr10	23095136	23096255	+	0	NA	NA	NA	NA	NA								
8237	chr11	128486653	128488895	+	0	NA	NA	NA	NA	NA								
3188	chr1	183023028	183024302	+	0	NA	NA	NA	NA	NA								
27959	chr4	139951013	139953075	+	0	NA	NA	NA	NA	NA								
5244	chr10	95334109	95335389	+	0	NA	NA	NA	NA	NA								
14901	chr16	68310191	68311533	+	0	NA	NA	NA	NA	NA								
23178	chr20	64079712	64080398	+	0	NA	NA	NA	NA	NA								
6631	chr11	44570695	44571214	+	0	NA	NA	NA	NA	NA								
26690	chr3	195441634	195443604	+	0	NA	NA	NA	NA	NA								
37175	chrX	11757075	11758742	+	0	NA	NA	NA	NA	NA								
32038	chr6	138517596	138518361	+	0	NA	NA	NA	NA	NA								
2784	chr1	161032538	161033327	+	0	NA	NA	NA	NA	NA								
14153	chr16	5024712	5025307	+	0	NA	NA	NA	NA	NA								
30446	chr6	3119358	3119720	+	0	NA	NA	NA	NA	NA								
24577	chr3	38117068	38118587	+	0	NA	NA	NA	NA	NA								
32637	chr7	27150677	27151117	+	0	NA	NA	NA	NA	NA								
9898	chr12	102680161	102680663	+	0	NA	NA	NA	NA	NA								
6927	chr11	61792014	61792243	+	0	NA	NA	NA	NA	NA								
17241	chr17	82458159	82459391	+	0	NA	NA	NA	NA	NA								
35260	chr8	123540814	123541931	+	0	NA	NA	NA	NA	NA								
33746	chr7	133081069	133082425	+	0	NA	NA	NA	NA	NA								
35220	chr8	120810132	120810763	+	0	NA	NA	NA	NA	NA								
6363	chr11	17389087	17389575	+	0	NA	NA	NA	NA	NA								
18659	chr19	35715941	35717961	+	0	NA	NA	NA	NA	NA								
36212	chr9	86945478	86946812	+	0	NA	NA	NA	NA	NA								
27257	chr4	55546622	55547691	+	0	NA	NA	NA	NA	NA								
23182	chr21	14382875	14383792	+	0	NA	NA	NA	NA	NA								
9101	chr12	53508588	53508894	+	0	NA	NA	NA	NA	NA								
34554	chr8	48925618	48925882	+	0	NA	NA	NA	NA	NA								
17267	chr18	2655199	2656809	+	0	NA	NA	NA	NA	NA								
795	chr1	31816008	31816255	+	0	NA	NA	NA	NA	NA								
28669	chr5	42572317	42573535	+	0	NA	NA	NA	NA	NA								
17227	chr17	82030545	82030811	+	0	NA	NA	NA	NA	NA								
6811	chr11	57526631	57527462	+	0	NA	NA	NA	NA	NA								
37452	chrX	49079653	49080357	+	0	NA	NA	NA	NA	NA								
26417	chr3	179562597	179564319	+	0	NA	NA	NA	NA	NA								
28629	chr5	39424784	39425298	+	0	NA	NA	NA	NA	NA								
24493	chr3	31532036	31534333	+	0	NA	NA	NA	NA	NA								
876	chr1	33180873	33182270	+	0	NA	NA	NA	NA	NA								
2410	chr1	150364220	150365481	+	0	NA	NA	NA	NA	NA								
29970	chr5	149729320	149731821	+	0	NA	NA	NA	NA	NA								
3907	chr1	226308360	226309994	+	0	NA	NA	NA	NA	NA								
12202	chr14	75088387	75088930	+	0	NA	NA	NA	NA	NA								
28810	chr5	58459261	58461033	+	0	NA	NA	NA	NA	NA								
13307	chr15	65057202	65058498	+	0	NA	NA	NA	NA	NA								
8554	chr12	12349696	12350571	+	0	NA	NA	NA	NA	NA								
14688	chr16	57446661	57448039	+	0	NA	NA	NA	NA	NA								
20848	chr2	127525515	127526673	+	0	NA	NA	NA	NA	NA								
4270	chr10	13586794	13587294	+	0	NA	NA	NA	NA	NA								
11414	chr14	30874092	30875876	+	0	NA	NA	NA	NA	NA								
7477	chr11	73778980	73779918	+	0	NA	NA	NA	NA	NA								
14087	chr16	2969098	2970039	+	0	NA	NA	NA	NA	NA								
8183	chr11	125494822	125496481	+	0	NA	NA	NA	NA	NA								
33677	chr7	129433840	129435192	+	0	NA	NA	NA	NA	NA								
18456	chr19	18007737	18009118	+	0	NA	NA	NA	NA	NA								
19971	chr2	46542327	46543149	+	0	NA	NA	NA	NA	NA								
6794	chr11	57457353	57457641	+	0	NA	NA	NA	NA	NA								
35251	chr8	123273645	123275476	+	0	NA	NA	NA	NA	NA								
9459	chr12	67442304	67443687	+	0	NA	NA	NA	NA	NA								
26804	chr4	3441476	3443791	+	0	NA	NA	NA	NA	NA								
33078	chr7	88311697	88312782	+	0	NA	NA	NA	NA	NA								
22138	chr2	241314640	241316417	+	0	NA	NA	NA	NA	NA								
27075	chr4	39182118	39183575	+	0	NA	NA	NA	NA	NA								
29507	chr5	129903730	129905600	+	0	NA	NA	NA	NA	NA								
20385	chr2	74507606	74508447	+	0	NA	NA	NA	NA	NA								
6420	chr11	19951498	19951870	+	0	NA	NA	NA	NA	NA								
67	chr1	6475580	6476064	+	0	NA	NA	NA	NA	NA								
17092	chr17	77958929	77960087	+	0	NA	NA	NA	NA	NA								
11807	chr14	59188107	59189762	+	0	NA	NA	NA	NA	NA								
7435	chr11	72683668	72684399	+	0	NA	NA	NA	NA	NA								
2821	chr1	161314257	161314879	+	0	NA	NA	NA	NA	NA								
5520	chr10	102352178	102352563	+	0	NA	NA	NA	NA	NA								
8333	chr12	752250	753424	+	0	NA	NA	NA	NA	NA								
26396	chr3	172709882	172711425	+	0	NA	NA	NA	NA	NA								
18811	chr19	40716744	40717954	+	0	NA	NA	NA	NA	NA								
3582	chr1	206946105	206946597	+	0	NA	NA	NA	NA	NA								
1739	chr1	84753571	84753848	+	0	NA	NA	NA	NA	NA								
27598	chr4	88822499	88823354	+	0	NA	NA	NA	NA	NA								
31036	chr6	41894293	41896252	+	0	NA	NA	NA	NA	NA								
3586	chr1	207030559	207031638	+	0	NA	NA	NA	NA	NA								
37283	chrX	30652456	30652750	+	0	NA	NA	NA	NA	NA								
19602	chr2	26274065	26274687	+	0	NA	NA	NA	NA	NA								
28426	chr5	10301424	10302198	+	0	NA	NA	NA	NA	NA								
8889	chr12	48864730	48866562	+	0	NA	NA	NA	NA	NA								
4597	chr10	50885174	50885865	+	0	NA	NA	NA	NA	NA								
28466	chr5	14183504	14184620	+	0	NA	NA	NA	NA	NA								
11109	chr13	104571491	104571953	+	0	NA	NA	NA	NA	NA								
34023	chr7	156379338	156380084	+	0	NA	NA	NA	NA	NA								
21243	chr2	174247646	174248995	+	0	NA	NA	NA	NA	NA								
673	chr1	27321821	27322660	+	0	NA	NA	NA	NA	NA								
34063	chr8	9135655	9135815	+	0	NA	NA	NA	NA	NA								
33595	chr7	123556978	123558217	+	0	NA	NA	NA	NA	NA								
18289	chr19	12801409	12802363	+	0	NA	NA	NA	NA	NA								
26902	chr4	15479044	15480037	+	0	NA	NA	NA	NA	NA								
27687	chr4	102500454	102502447	+	0	NA	NA	NA	NA	NA								
7403	chr11	71452975	71454145	+	0	NA	NA	NA	NA	NA								
8305	chr11	133927676	133927895	+	0	NA	NA	NA	NA	NA								
5143	chr10	91409442	91411109	+	0	NA	NA	NA	NA	NA								
27088	chr4	39458366	39459148	+	0	NA	NA	NA	NA	NA								
226	chr1	11058887	11060770	+	0	NA	NA	NA	NA	NA								
1057	chr1	39927542	39928004	+	0	NA	NA	NA	NA	NA								
20378	chr2	74481885	74482866	+	0	NA	NA	NA	NA	NA								
33085	chr7	90346365	90347057	+	0	NA	NA	NA	NA	NA								
3973	chr1	230425449	230426890	+	0	NA	NA	NA	NA	NA								
31048	chr6	42045378	42046015	+	0	NA	NA	NA	NA	NA								
24228	chr3	8444258	8444709	+	0	NA	NA	NA	NA	NA								
24268	chr3	9890538	9890897	+	0	NA	NA	NA	NA	NA								
12310	chr14	77615719	77617215	+	0	NA	NA	NA	NA	NA								
34305	chr8	25509915	25510119	+	0	NA	NA	NA	NA	NA								
31647	chr6	108260080	108261577	+	0	NA	NA	NA	NA	NA								
1919	chr1	94383932	94384445	+	0	NA	NA	NA	NA	NA								
19403	chr2	10447561	10448820	+	0	NA	NA	NA	NA	NA								
26014	chr3	141192124	141192710	+	0	NA	NA	NA	NA	NA								
9408	chr12	63843609	63845245	+	0	NA	NA	NA	NA	NA								
23273	chr21	29072850	29074235	+	0	NA	NA	NA	NA	NA								
22146	chr2	241558540	241559106	+	0	NA	NA	NA	NA	NA								
4069	chr1	240596236	240597507	+	0	NA	NA	NA	NA	NA								
26671	chr3	194632790	194633966	+	0	NA	NA	NA	NA	NA								
9330	chr12	57621588	57622050	+	0	NA	NA	NA	NA	NA								
36300	chr9	94259020	94259273	+	0	NA	NA	NA	NA	NA								
11618	chr14	50231015	50232423	+	0	NA	NA	NA	NA	NA								
15445	chr17	7242026	7243365	+	0	NA	NA	NA	NA	NA								
18001	chr19	2269777	2269977	+	0	NA	NA	NA	NA	NA								
31356	chr6	70398452	70399803	+	0	NA	NA	NA	NA	NA								
18176	chr19	9818714	9819528	+	0	NA	NA	NA	NA	NA								
9722	chr12	93377430	93378957	+	0	NA	NA	NA	NA	NA								
17582	chr18	35949348	35950710	+	0	NA	NA	NA	NA	NA								
32782	chr7	40134233	40134923	+	0	NA	NA	NA	NA	NA								
691	chr1	27519161	27520108	+	0	NA	NA	NA	NA	NA								
9726	chr12	93467305	93467947	+	0	NA	NA	NA	NA	NA								
20943	chr2	144849096	144850183	+	0	NA	NA	NA	NA	NA								
7851	chr11	113532730	113532994	+	0	NA	NA	NA	NA	NA								
14258	chr16	20740823	20741941	+	0	NA	NA	NA	NA	NA								
11017	chr13	95478514	95478835	+	0	NA	NA	NA	NA	NA								
14484	chr16	31033070	31034466	+	0	NA	NA	NA	NA	NA								
29435	chr5	123511727	123513592	+	0	NA	NA	NA	NA	NA								
20836	chr2	127106174	127107754	+	0	NA	NA	NA	NA	NA								
16670	chr17	59892436	59893866	+	0	NA	NA	NA	NA	NA								
3743	chr1	213982642	213984137	+	0	NA	NA	NA	NA	NA								
13198	chr15	59371493	59372218	+	0	NA	NA	NA	NA	NA								
10768	chr13	48000309	48001677	+	0	NA	NA	NA	NA	NA								
33411	chr7	105934664	105934901	+	0	NA	NA	NA	NA	NA								
9180	chr12	56087216	56087559	+	0	NA	NA	NA	NA	NA								
292	chr1	15152295	15154603	+	0	NA	NA	NA	NA	NA								
10728	chr13	45047387	45047831	+	0	NA	NA	NA	NA	NA								
35681	chr9	15135165	15135568	+	0	NA	NA	NA	NA	NA								
33856	chr7	140175229	140177513	+	0	NA	NA	NA	NA	NA								
16513	chr17	55285411	55285881	+	0	NA	NA	NA	NA	NA								
14597	chr16	51450271	51451362	+	0	NA	NA	NA	NA	NA								
25113	chr3	57756029	57757840	+	0	NA	NA	NA	NA	NA								
28000	chr4	142846890	142847544	+	0	NA	NA	NA	NA	NA								
37172	chrX	11757075	11758742	+	0	NA	NA	NA	NA	NA								
5849	chr10	119079957	119081439	+	0	NA	NA	NA	NA	NA								
31776	chr6	116216984	116217307	+	0	NA	NA	NA	NA	NA								
3890	chr1	225999199	226000025	+	0	NA	NA	NA	NA	NA								
20758	chr2	113282973	113283583	+	0	NA	NA	NA	NA	NA								
14675	chr16	57084413	57085066	+	0	NA	NA	NA	NA	NA								
5636	chr10	104350199	104350494	+	0	NA	NA	NA	NA	NA								
458	chr1	21338085	21339019	+	0	NA	NA	NA	NA	NA								
5632	chr10	104268261	104269360	+	0	NA	NA	NA	NA	NA								
24692	chr3	46497647	46498050	+	0	NA	NA	NA	NA	NA								
3018	chr1	173824037	173825063	+	0	NA	NA	NA	NA	NA								
27735	chr4	107930528	107932171	+	0	NA	NA	NA	NA	NA								
37653	chrX	78104870	78105238	+	0	NA	NA	NA	NA	NA								
33738	chr7	131945522	131945993	+	0	NA	NA	NA	NA	NA								
17703	chr18	49459565	49461298	+	0	NA	NA	NA	NA	NA								
32503	chr7	12210847	12212535	+	0	NA	NA	NA	NA	NA								
22311	chr20	5695820	5696847	+	0	NA	NA	NA	NA	NA								
20748	chr2	113156799	113158080	+	0	NA	NA	NA	NA	NA								
11498	chr14	35825969	35827266	+	0	NA	NA	NA	NA	NA								
4280	chr10	13765642	13766670	+	0	NA	NA	NA	NA	NA								
28710	chr5	52799322	52801045	+	0	NA	NA	NA	NA	NA								
8173	chr11	125141795	125142360	+	0	NA	NA	NA	NA	NA								
31111	chr6	43269273	43270017	+	0	NA	NA	NA	NA	NA								
37643	chrX	75522625	75523303	+	0	NA	NA	NA	NA	NA								
7487	chr11	74170683	74171790	+	0	NA	NA	NA	NA	NA								
21683	chr2	212548491	212548736	+	0	NA	NA	NA	NA	NA								
35578	chr9	2621235	2622949	+	0	NA	NA	NA	NA	NA								
18980	chr19	45444160	45444524	+	0	NA	NA	NA	NA	NA								
4041	chr1	235326602	235329173	+	0	NA	NA	NA	NA	NA								
35095	chr8	106269701	106270355	+	0	NA	NA	NA	NA	NA								
10100	chr12	113196209	113197653	+	0	NA	NA	NA	NA	NA								
17013	chr17	75784385	75786042	+	0	NA	NA	NA	NA	NA								
33846	chr7	139829242	139830145	+	0	NA	NA	NA	NA	NA								
30987	chr6	39280363	39280717	+	0	NA	NA	NA	NA	NA								
16082	chr17	40417447	40417973	+	0	NA	NA	NA	NA	NA								
32984	chr7	75993177	75995117	+	0	NA	NA	NA	NA	NA								
20101	chr2	60756013	60757487	+	0	NA	NA	NA	NA	NA								
22156	chr20	297180	297687	+	0	NA	NA	NA	NA	NA								
5313	chr10	97333477	97336079	+	0	NA	NA	NA	NA	NA								
36664	chr9	120650353	120650669	+	0	NA	NA	NA	NA	NA								
27386	chr4	75630129	75631315	+	0	NA	NA	NA	NA	NA								
20076	chr2	55049032	55050972	+	0	NA	NA	NA	NA	NA								
33933	chr7	150379096	150380135	+	0	NA	NA	NA	NA	NA								
36624	chr9	113807392	113807886	+	0	NA	NA	NA	NA	NA								
17908	chr18	76491477	76491789	+	0	NA	NA	NA	NA	NA								
3576	chr1	206909260	206910015	+	0	NA	NA	NA	NA	NA								
18438	chr19	17309254	17309642	+	0	NA	NA	NA	NA	NA								
3572	chr1	206684674	206686716	+	0	NA	NA	NA	NA	NA								
15455	chr17	7296113	7296910	+	0	NA	NA	NA	NA	NA								
31346	chr6	63635358	63637056	+	0	NA	NA	NA	NA	NA								
27514	chr4	82429331	82431262	+	0	NA	NA	NA	NA	NA								
8879	chr12	48681503	48682920	+	0	NA	NA	NA	NA	NA								
14248	chr16	19717679	19718959	+	0	NA	NA	NA	NA	NA								
24412	chr3	19885455	19885654	+	0	NA	NA	NA	NA	NA								
20953	chr2	148020045	148022047	+	0	NA	NA	NA	NA	NA								
11707	chr14	53952917	53954240	+	0	NA	NA	NA	NA	NA								
2560	chr1	154271956	154273263	+	0	NA	NA	NA	NA	NA								
18711	chr19	38263926	38265572	+	0	NA	NA	NA	NA	NA								
8304	chr11	133835255	133835831	+	0	NA	NA	NA	NA	NA								
12126	chr14	73457343	73459005	+	0	NA	NA	NA	NA	NA								
5861	chr10	119409768	119410602	+	0	NA	NA	NA	NA	NA								
31522	chr6	89940517	89940715	+	0	NA	NA	NA	NA	NA								
12166	chr14	74302486	74303250	+	0	NA	NA	NA	NA	NA								
31562	chr6	98833154	98833772	+	0	NA	NA	NA	NA	NA								
34217	chr8	19408211	19409136	+	0	NA	NA	NA	NA	NA								
36293	chr9	94030491	94031586	+	0	NA	NA	NA	NA	NA								
31058	chr6	42745200	42746807	+	0	NA	NA	NA	NA	NA								
10923	chr13	75762411	75763118	+	0	NA	NA	NA	NA	NA								
15188	chr16	88487527	88488514	+	0	NA	NA	NA	NA	NA								
28981	chr5	73497695	73499127	+	0	NA	NA	NA	NA	NA								
1638	chr1	67053302	67055008	+	0	NA	NA	NA	NA	NA								
10963	chr13	79405179	79406661	+	0	NA	NA	NA	NA	NA								
26588	chr3	188185224	188186199	+	0	NA	NA	NA	NA	NA								
33691	chr7	129952302	129953137	+	0	NA	NA	NA	NA	NA								
25425	chr3	100068883	100069220	+	0	NA	NA	NA	NA	NA								
31657	chr6	108560498	108561590	+	0	NA	NA	NA	NA	NA								
25465	chr3	101848831	101850230	+	0	NA	NA	NA	NA	NA								
19997	chr2	46969990	46971457	+	0	NA	NA	NA	NA	NA								
26704	chr3	195914898	195915230	+	0	NA	NA	NA	NA	NA								
24570	chr3	38039059	38039666	+	0	NA	NA	NA	NA	NA								
32630	chr7	26397843	26398955	+	0	NA	NA	NA	NA	NA								
749	chr1	28552830	28553277	+	0	NA	NA	NA	NA	NA								
29186	chr5	93581275	93581681	+	0	NA	NA	NA	NA	NA								
11694	chr14	53151932	53153477	+	0	NA	NA	NA	NA	NA								
33376	chr7	103988569	103990756	+	0	NA	NA	NA	NA	NA								
15274	chr17	2094845	2095278	+	0	NA	NA	NA	NA	NA								
34181	chr8	17496829	17498037	+	0	NA	NA	NA	NA	NA								
32882	chr7	50793107	50794146	+	0	NA	NA	NA	NA	NA								
26697	chr3	195895940	195896250	+	0	NA	NA	NA	NA	NA								
24613	chr3	40308666	40310358	+	0	NA	NA	NA	NA	NA								
21253	chr2	174771647	174772186	+	0	NA	NA	NA	NA	NA								
26098	chr3	149129357	149130141	+	0	NA	NA	NA	NA	NA								
35969	chr9	36400205	36401623	+	0	NA	NA	NA	NA	NA								
35929	chr9	35696621	35697522	+	0	NA	NA	NA	NA	NA								
31338	chr6	63475709	63476812	+	0	NA	NA	NA	NA	NA								
26319	chr3	169764325	169765017	+	0	NA	NA	NA	NA	NA								
35241	chr8	122795100	122795611	+	0	NA	NA	NA	NA	NA								
6795	chr11	57476118	57476749	+	0	NA	NA	NA	NA	NA								
3983	chr1	232805351	232806229	+	0	NA	NA	NA	NA	NA								
18446	chr19	17511523	17512180	+	0	NA	NA	NA	NA	NA								
15175	chr16	85898211	85899894	+	0	NA	NA	NA	NA	NA								
14236	chr16	19067548	19068241	+	0	NA	NA	NA	NA	NA								
26575	chr3	188059462	188061252	+	0	NA	NA	NA	NA	NA								
25192	chr3	64533479	64534074	+	0	NA	NA	NA	NA	NA								
16592	chr17	57987187	57988944	+	0	NA	NA	NA	NA	NA								
29279	chr5	108727614	108728525	+	0	NA	NA	NA	NA	NA								
7392	chr11	69674728	69675646	+	0	NA	NA	NA	NA	NA								
522	chr1	23790807	23791874	+	0	NA	NA	NA	NA	NA								
11263	chr14	22777593	22778219	+	0	NA	NA	NA	NA	NA								
7396	chr11	71251501	71253341	+	0	NA	NA	NA	NA	NA								
