PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_enhancers.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-4840	chr1	244163052	244163419	+	244184952	NA	NA	NA	NA	NA								
chr1-4839	chr1	244154999	244155677	+	244184952	NA	NA	NA	NA	NA								
chr1-4837	chr1	244089544	244090058	+	244087305	NA	NA	NA	NA	NA								
chr1-4836	chr1	244089544	244090058	+	244087305	NA	NA	NA	NA	NA								
chr1-4835	chr1	244060611	244061162	+	244064329	NA	NA	NA	NA	NA								
chr1-4834	chr1	243930947	243931732	+	243917401	NA	NA	NA	NA	NA								
chr1-4833	chr1	243930947	243931732	+	243917401	NA	NA	NA	NA	NA								
chr1-4832	chr1	241609377	241609691	+	241628850	NA	NA	NA	NA	NA								
chr1-4831	chr1	241609377	241609691	+	241628850	NA	NA	NA	NA	NA								
chr2-3403	chr2	241569911	241571132	+	241581921	NA	NA	NA	NA	NA								
chr2-3404	chr2	241569911	241571132	+	241581921	NA	NA	NA	NA	NA								
chr2-3401	chr2	241559383	241560222	+	241551423	NA	NA	NA	NA	NA								
chr2-3402	chr2	241559383	241560222	+	241551423	NA	NA	NA	NA	NA								
chr2-3399	chr2	241558540	241559106	+	241551423	NA	NA	NA	NA	NA								
chr2-3400	chr2	241558540	241559106	+	241551423	NA	NA	NA	NA	NA								
chr2-3398	chr2	241558540	241559106	+	241551423	NA	NA	NA	NA	NA								
chr1-4828	chr1	241518937	241520157	+	241532133	NA	NA	NA	NA	NA								
chr1-4830	chr1	241560502	241561302	+	241532133	NA	NA	NA	NA	NA								
chr1-4829	chr1	241560502	241561302	+	241532133	NA	NA	NA	NA	NA								
chr1-4827	chr1	241518937	241520157	+	241532133	NA	NA	NA	NA	NA								
chr2-3396	chr2	241410313	241411561	+	241360890	NA	NA	NA	NA	NA								
chr2-3397	chr2	241410313	241411561	+	241360890	NA	NA	NA	NA	NA								
chr2-3389	chr2	241271790	241273919	+	241315099	NA	NA	NA	NA	NA								
chr2-3391	chr2	241271790	241273919	+	241315099	NA	NA	NA	NA	NA								
chr2-3392	chr2	241271790	241273919	+	241315099	NA	NA	NA	NA	NA								
chr2-3390	chr2	241271790	241273919	+	241315099	NA	NA	NA	NA	NA								
chr2-3395	chr2	241289497	241290117	+	241315099	NA	NA	NA	NA	NA								
chr2-3393	chr2	241271790	241273919	+	241315099	NA	NA	NA	NA	NA								
chr2-3394	chr2	241271790	241273919	+	241315099	NA	NA	NA	NA	NA								
chr2-3388	chr2	241265576	241265901	+	241227263	NA	NA	NA	NA	NA								
chr2-3387	chr2	241036762	241037241	+	241015598	NA	NA	NA	NA	NA								
chr2-3386	chr2	240991490	240991989	+	240998617	NA	NA	NA	NA	NA								
chr2-3385	chr2	240987777	240988498	+	240981514	NA	NA	NA	NA	NA								
chr2-3384	chr2	240960429	240960957	+	240954616	NA	NA	NA	NA	NA								
chr2-3382	chr2	240896457	240897537	+	240906329	NA	NA	NA	NA	NA								
chr2-3383	chr2	240896457	240897537	+	240906329	NA	NA	NA	NA	NA								
chr2-3381	chr2	240839790	240840428	+	240868823	NA	NA	NA	NA	NA								
chr1-4825	chr1	240691790	240692412	+	240698319	NA	NA	NA	NA	NA								
chr1-4824	chr1	240691790	240692412	+	240698319	NA	NA	NA	NA	NA								
chr1-4826	chr1	240691790	240692412	+	240698319	NA	NA	NA	NA	NA								
chr1-4817	chr1	240596236	240597507	+	240588521	NA	NA	NA	NA	NA								
chr1-4816	chr1	240596236	240597507	+	240588521	NA	NA	NA	NA	NA								
chr1-4823	chr1	240611590	240612408	+	240588521	NA	NA	NA	NA	NA								
chr1-4819	chr1	240609589	240609791	+	240588521	NA	NA	NA	NA	NA								
chr1-4818	chr1	240596236	240597507	+	240588521	NA	NA	NA	NA	NA								
chr1-4820	chr1	240610601	240610955	+	240588521	NA	NA	NA	NA	NA								
chr1-4822	chr1	240611590	240612408	+	240588521	NA	NA	NA	NA	NA								
chr1-4821	chr1	240610601	240610955	+	240588521	NA	NA	NA	NA	NA								
chr2-3380	chr2	240589215	240589504	+	240586733	NA	NA	NA	NA	NA								
chr2-3378	chr2	240567902	240569287	+	240565803	NA	NA	NA	NA	NA								
chr2-3376	chr2	240567902	240569287	+	240565803	NA	NA	NA	NA	NA								
chr2-3377	chr2	240567902	240569287	+	240565803	NA	NA	NA	NA	NA								
chr2-3379	chr2	240569338	240569673	+	240565803	NA	NA	NA	NA	NA								
chr1-4815	chr1	240526807	240527211	+	240530451	NA	NA	NA	NA	NA								
chr2-3375	chr2	240438161	240438590	+	240435662	NA	NA	NA	NA	NA								
chr1-4812	chr1	240390986	240391430	+	240400670	NA	NA	NA	NA	NA								
chr1-4814	chr1	240423572	240424126	+	240400670	NA	NA	NA	NA	NA								
chr1-4813	chr1	240423572	240424126	+	240400670	NA	NA	NA	NA	NA								
chr1-4810	chr1	240369414	240370151	+	240341384	NA	NA	NA	NA	NA								
chr1-4811	chr1	240369414	240370151	+	240341384	NA	NA	NA	NA	NA								
chr1-4809	chr1	240369414	240370151	+	240341384	NA	NA	NA	NA	NA								
chr2-3373	chr2	240273623	240274374	+	240289215	NA	NA	NA	NA	NA								
chr2-3374	chr2	240273623	240274374	+	240289215	NA	NA	NA	NA	NA								
chr1-4808	chr1	240187624	240187871	+	240177838	NA	NA	NA	NA	NA								
chr1-4807	chr1	240093410	240093818	+	240142669	NA	NA	NA	NA	NA								
chr2-3371	chr2	240024138	240025755	+	240029490	NA	NA	NA	NA	NA								
chr2-3372	chr2	240024138	240025755	+	240029490	NA	NA	NA	NA	NA								
chr1-4805	chr1	239391376	239391926	+	239386564	NA	NA	NA	NA	NA								
chr1-4806	chr1	239391376	239391926	+	239386564	NA	NA	NA	NA	NA								
chr2-3368	chr2	239328397	239329299	+	239351723	NA	NA	NA	NA	NA								
chr2-3370	chr2	239348907	239349352	+	239351723	NA	NA	NA	NA	NA								
chr2-3369	chr2	239328397	239329299	+	239351723	NA	NA	NA	NA	NA								
chr2-3367	chr2	239308840	239309566	+	239305461	NA	NA	NA	NA	NA								
chr2-3366	chr2	239308840	239309566	+	239305461	NA	NA	NA	NA	NA								
chr1-4804	chr1	239315605	239315970	+	239247807	NA	NA	NA	NA	NA								
chr2-3364	chr2	239187183	239188027	+	239194117	NA	NA	NA	NA	NA								
chr2-3365	chr2	239236843	239237368	+	239194117	NA	NA	NA	NA	NA								
chr2-3363	chr2	239106383	239106652	+	239114857	NA	NA	NA	NA	NA								
chr2-3362	chr2	239089668	239090375	+	239085826	NA	NA	NA	NA	NA								
chr2-3360	chr2	238875132	238876036	+	238848031	NA	NA	NA	NA	NA								
chr2-3361	chr2	238875132	238876036	+	238848031	NA	NA	NA	NA	NA								
chr2-3359	chr2	238875132	238876036	+	238848031	NA	NA	NA	NA	NA								
chr2-3358	chr2	238785069	238785330	+	238788647	NA	NA	NA	NA	NA								
chr2-3356	chr2	238557983	238558509	+	238554540	NA	NA	NA	NA	NA								
chr2-3357	chr2	238557983	238558509	+	238554540	NA	NA	NA	NA	NA								
chr2-3355	chr2	238522935	238523483	+	238510689	NA	NA	NA	NA	NA								
chr2-3353	chr2	238298462	238298893	+	238295391	NA	NA	NA	NA	NA								
chr2-3354	chr2	238299695	238300247	+	238295391	NA	NA	NA	NA	NA								
chr2-3348	chr2	238267767	238268601	+	238289126	NA	NA	NA	NA	NA								
chr2-3351	chr2	238284759	238285466	+	238289126	NA	NA	NA	NA	NA								
chr2-3352	chr2	238284759	238285466	+	238289126	NA	NA	NA	NA	NA								
chr2-3350	chr2	238274017	238275127	+	238289126	NA	NA	NA	NA	NA								
chr2-3349	chr2	238274017	238275127	+	238289126	NA	NA	NA	NA	NA								
chr2-3345	chr2	238256441	238256874	+	238244043	NA	NA	NA	NA	NA								
chr2-3344	chr2	238250014	238251770	+	238244043	NA	NA	NA	NA	NA								
chr2-3343	chr2	238250014	238251770	+	238244043	NA	NA	NA	NA	NA								
chr2-3347	chr2	238263994	238264522	+	238244043	NA	NA	NA	NA	NA								
chr2-3341	chr2	238250014	238251770	+	238244043	NA	NA	NA	NA	NA								
chr2-3342	chr2	238250014	238251770	+	238244043	NA	NA	NA	NA	NA								
chr2-3346	chr2	238263662	238263942	+	238244043	NA	NA	NA	NA	NA								
chr2-3340	chr2	238240835	238241181	+	238238266	NA	NA	NA	NA	NA								
chr2-3338	chr2	238132673	238133246	+	238138667	NA	NA	NA	NA	NA								
chr2-3339	chr2	238132673	238133246	+	238138667	NA	NA	NA	NA	NA								
chr2-3337	chr2	238124190	238124351	+	238138667	NA	NA	NA	NA	NA								
chr2-3335	chr2	238082746	238083811	+	238100339	NA	NA	NA	NA	NA								
chr2-3336	chr2	238082746	238083811	+	238100339	NA	NA	NA	NA	NA								
chr2-3333	chr2	238063068	238063829	+	238060923	NA	NA	NA	NA	NA								
chr2-3334	chr2	238064961	238065600	+	238060923	NA	NA	NA	NA	NA								
chr2-3332	chr2	238063068	238063829	+	238060923	NA	NA	NA	NA	NA								
chr2-3328	chr2	237704541	237704967	+	237728568	NA	NA	NA	NA	NA								
chr2-3325	chr2	237691473	237692979	+	237728568	NA	NA	NA	NA	NA								
chr2-3326	chr2	237691473	237692979	+	237728568	NA	NA	NA	NA	NA								
chr2-3327	chr2	237691473	237692979	+	237728568	NA	NA	NA	NA	NA								
chr2-3331	chr2	237751355	237751939	+	237728568	NA	NA	NA	NA	NA								
chr2-3329	chr2	237721763	237722506	+	237728568	NA	NA	NA	NA	NA								
chr2-3330	chr2	237751355	237751939	+	237728568	NA	NA	NA	NA	NA								
chr2-3324	chr2	237674432	237675110	+	237627586	NA	NA	NA	NA	NA								
chr2-3323	chr2	237595182	237595640	+	237591019	NA	NA	NA	NA	NA								
chr2-3322	chr2	237595182	237595640	+	237591019	NA	NA	NA	NA	NA								
chr2-3321	chr2	237355559	237356055	+	237324002	NA	NA	NA	NA	NA								
chr2-3319	chr2	236824679	236825314	+	236910796	NA	NA	NA	NA	NA								
chr2-3320	chr2	236824679	236825314	+	236910796	NA	NA	NA	NA	NA								
chr1-4803	chr1	236868971	236869137	+	236819633	NA	NA	NA	NA	NA								
chr1-4802	chr1	236832430	236832617	+	236819633	NA	NA	NA	NA	NA								
chr1-4801	chr1	236763436	236763736	+	236795259	NA	NA	NA	NA	NA								
chr2-3316	chr2	236619087	236619816	+	236567786	NA	NA	NA	NA	NA								
chr2-3317	chr2	236619087	236619816	+	236567786	NA	NA	NA	NA	NA								
chr2-3315	chr2	236571221	236571440	+	236567786	NA	NA	NA	NA	NA								
chr2-3318	chr2	236619087	236619816	+	236567786	NA	NA	NA	NA	NA								
chr1-4798	chr1	236555213	236556615	+	236549004	NA	NA	NA	NA	NA								
chr1-4797	chr1	236555213	236556615	+	236549004	NA	NA	NA	NA	NA								
chr1-4796	chr1	236555213	236556615	+	236549004	NA	NA	NA	NA	NA								
chr1-4800	chr1	236604202	236605036	+	236549004	NA	NA	NA	NA	NA								
chr1-4799	chr1	236555213	236556615	+	236549004	NA	NA	NA	NA	NA								
chr1-4794	chr1	236394924	236395743	+	236348256	NA	NA	NA	NA	NA								
chr1-4793	chr1	236389057	236389226	+	236348256	NA	NA	NA	NA	NA								
chr1-4795	chr1	236394924	236395743	+	236348256	NA	NA	NA	NA	NA								
chr1-4792	chr1	236281204	236282513	+	236285975	NA	NA	NA	NA	NA								
chr1-4791	chr1	236281204	236282513	+	236285975	NA	NA	NA	NA	NA								
chr2-3314	chr2	236180926	236181191	+	236193458	NA	NA	NA	NA	NA								
chr2-3313	chr2	236177825	236178423	+	236167417	NA	NA	NA	NA	NA								
chr2-3312	chr2	236075401	236076008	+	236072294	NA	NA	NA	NA	NA								
chr2-3311	chr2	236013219	236014142	+	236037249	NA	NA	NA	NA	NA								
chr2-3310	chr2	236013219	236014142	+	236037249	NA	NA	NA	NA	NA								
chr1-4790	chr1	235983472	235984423	+	235975829	NA	NA	NA	NA	NA								
chr1-4789	chr1	235981063	235981689	+	235975829	NA	NA	NA	NA	NA								
chr1-4788	chr1	235938727	235939019	+	235942552	NA	NA	NA	NA	NA								
chr1-4784	chr1	235892353	235892777	+	235915414	NA	NA	NA	NA	NA								
chr1-4785	chr1	235892353	235892777	+	235915414	NA	NA	NA	NA	NA								
chr1-4786	chr1	235906133	235906740	+	235915414	NA	NA	NA	NA	NA								
chr1-4787	chr1	235906133	235906740	+	235915414	NA	NA	NA	NA	NA								
chr2-3304	chr2	235860351	235861157	+	235882361	NA	NA	NA	NA	NA								
chr2-3303	chr2	235860351	235861157	+	235882361	NA	NA	NA	NA	NA								
chr2-3305	chr2	235860351	235861157	+	235882361	NA	NA	NA	NA	NA								
chr2-3308	chr2	235865182	235866720	+	235882361	NA	NA	NA	NA	NA								
chr2-3307	chr2	235865182	235866720	+	235882361	NA	NA	NA	NA	NA								
chr2-3306	chr2	235865182	235866720	+	235882361	NA	NA	NA	NA	NA								
chr2-3309	chr2	235952618	235953075	+	235882361	NA	NA	NA	NA	NA								
chr1-4783	chr1	235865924	235867148	+	235852999	NA	NA	NA	NA	NA								
chr1-4782	chr1	235865924	235867148	+	235852999	NA	NA	NA	NA	NA								
chr1-4781	chr1	235808665	235809261	+	235839482	NA	NA	NA	NA	NA								
chr1-4780	chr1	235808665	235809261	+	235839482	NA	NA	NA	NA	NA								
chr2-3294	chr2	235641477	235642675	+	235773854	NA	NA	NA	NA	NA								
chr2-3293	chr2	235641477	235642675	+	235773854	NA	NA	NA	NA	NA								
chr2-3298	chr2	235711472	235711777	+	235773854	NA	NA	NA	NA	NA								
chr2-3295	chr2	235669300	235670122	+	235773854	NA	NA	NA	NA	NA								
chr2-3300	chr2	235729416	235729810	+	235773854	NA	NA	NA	NA	NA								
chr2-3297	chr2	235670431	235670954	+	235773854	NA	NA	NA	NA	NA								
chr2-3302	chr2	235805609	235806212	+	235773854	NA	NA	NA	NA	NA								
chr2-3296	chr2	235670431	235670954	+	235773854	NA	NA	NA	NA	NA								
chr2-3301	chr2	235785058	235785679	+	235773854	NA	NA	NA	NA	NA								
chr2-3292	chr2	235641477	235642675	+	235773854	NA	NA	NA	NA	NA								
chr2-3299	chr2	235726113	235726354	+	235773854	NA	NA	NA	NA	NA								
chr1-4779	chr1	235503494	235504704	+	235519970	NA	NA	NA	NA	NA								
chr1-4777	chr1	235503494	235504704	+	235519970	NA	NA	NA	NA	NA								
chr1-4778	chr1	235503494	235504704	+	235519970	NA	NA	NA	NA	NA								
chr2-3285	chr2	235510750	235512123	+	235505552	NA	NA	NA	NA	NA								
chr2-3288	chr2	235594059	235594426	+	235505552	NA	NA	NA	NA	NA								
chr2-3290	chr2	235614931	235615471	+	235505552	NA	NA	NA	NA	NA								
chr2-3286	chr2	235510750	235512123	+	235505552	NA	NA	NA	NA	NA								
chr2-3291	chr2	235638914	235639603	+	235505552	NA	NA	NA	NA	NA								
chr2-3287	chr2	235545353	235545594	+	235505552	NA	NA	NA	NA	NA								
chr2-3289	chr2	235595560	235595732	+	235505552	NA	NA	NA	NA	NA								
chr2-3283	chr2	235305544	235306140	+	235177895	NA	NA	NA	NA	NA								
chr2-3284	chr2	235305544	235306140	+	235177895	NA	NA	NA	NA	NA								
chr1-4776	chr1	235083662	235084192	+	235097186	NA	NA	NA	NA	NA								
chr1-4775	chr1	235083662	235084192	+	235097186	NA	NA	NA	NA	NA								
chr1-4769	chr1	235022437	235024752	+	235064926	NA	NA	NA	NA	NA								
chr1-4766	chr1	235022437	235024752	+	235064926	NA	NA	NA	NA	NA								
chr1-4770	chr1	235047508	235048422	+	235064926	NA	NA	NA	NA	NA								
chr1-4772	chr1	235061128	235061507	+	235064926	NA	NA	NA	NA	NA								
chr1-4767	chr1	235022437	235024752	+	235064926	NA	NA	NA	NA	NA								
chr1-4771	chr1	235047508	235048422	+	235064926	NA	NA	NA	NA	NA								
chr1-4765	chr1	235022437	235024752	+	235064926	NA	NA	NA	NA	NA								
chr1-4768	chr1	235022437	235024752	+	235064926	NA	NA	NA	NA	NA								
chr1-4774	chr1	235069827	235070583	+	235064926	NA	NA	NA	NA	NA								
chr1-4773	chr1	235069827	235070583	+	235064926	NA	NA	NA	NA	NA								
chr1-4762	chr1	234969507	234970699	+	234978813	NA	NA	NA	NA	NA								
chr1-4761	chr1	234969507	234970699	+	234978813	NA	NA	NA	NA	NA								
chr1-4760	chr1	234969507	234970699	+	234978813	NA	NA	NA	NA	NA								
chr1-4763	chr1	234980971	234981532	+	234978813	NA	NA	NA	NA	NA								
chr1-4764	chr1	234984442	234984749	+	234978813	NA	NA	NA	NA	NA								
chr1-4759	chr1	234963863	234964857	+	234957341	NA	NA	NA	NA	NA								
chr1-4757	chr1	234963863	234964857	+	234957341	NA	NA	NA	NA	NA								
chr1-4756	chr1	234960180	234961319	+	234957341	NA	NA	NA	NA	NA								
chr1-4755	chr1	234960180	234961319	+	234957341	NA	NA	NA	NA	NA								
chr1-4758	chr1	234963863	234964857	+	234957341	NA	NA	NA	NA	NA								
chr1-4754	chr1	234960180	234961319	+	234957341	NA	NA	NA	NA	NA								
chr2-3279	chr2	234960595	234962055	+	234952016	NA	NA	NA	NA	NA								
chr2-3277	chr2	234960595	234962055	+	234952016	NA	NA	NA	NA	NA								
chr2-3276	chr2	234886935	234887594	+	234952016	NA	NA	NA	NA	NA								
chr2-3278	chr2	234960595	234962055	+	234952016	NA	NA	NA	NA	NA								
chr2-3282	chr2	235011575	235012612	+	234952016	NA	NA	NA	NA	NA								
chr2-3281	chr2	234995485	234995855	+	234952016	NA	NA	NA	NA	NA								
chr2-3280	chr2	234960595	234962055	+	234952016	NA	NA	NA	NA	NA								
chr1-4746	chr1	234874383	234874929	+	234904185	NA	NA	NA	NA	NA								
chr1-4747	chr1	234874383	234874929	+	234904185	NA	NA	NA	NA	NA								
chr1-4749	chr1	234917563	234919347	+	234904185	NA	NA	NA	NA	NA								
chr1-4750	chr1	234917563	234919347	+	234904185	NA	NA	NA	NA	NA								
chr1-4752	chr1	234917563	234919347	+	234904185	NA	NA	NA	NA	NA								
chr1-4751	chr1	234917563	234919347	+	234904185	NA	NA	NA	NA	NA								
chr1-4753	chr1	234921156	234921585	+	234904185	NA	NA	NA	NA	NA								
chr1-4748	chr1	234917563	234919347	+	234904185	NA	NA	NA	NA	NA								
chr1-4744	chr1	234840347	234841155	+	234837975	NA	NA	NA	NA	NA								
chr1-4745	chr1	234840347	234841155	+	234837975	NA	NA	NA	NA	NA								
chr1-4742	chr1	234780559	234781025	+	234771522	NA	NA	NA	NA	NA								
chr1-4741	chr1	234776584	234777225	+	234771522	NA	NA	NA	NA	NA								
chr1-4743	chr1	234782153	234782455	+	234771522	NA	NA	NA	NA	NA								
chr1-4740	chr1	234746465	234747030	+	234757618	NA	NA	NA	NA	NA								
chr1-4739	chr1	234719567	234720174	+	234724041	NA	NA	NA	NA	NA								
chr1-4737	chr1	234715880	234716977	+	234709382	NA	NA	NA	NA	NA								
chr1-4738	chr1	234715880	234716977	+	234709382	NA	NA	NA	NA	NA								
chr2-3275	chr2	234690308	234691104	+	234682667	NA	NA	NA	NA	NA								
chr2-3274	chr2	234690308	234691104	+	234682667	NA	NA	NA	NA	NA								
chr2-3273	chr2	234690308	234691104	+	234682667	NA	NA	NA	NA	NA								
chr1-4736	chr1	234611712	234612253	+	234607007	NA	NA	NA	NA	NA								
chr1-4735	chr1	234610685	234611421	+	234607007	NA	NA	NA	NA	NA								
chr1-4732	chr1	234543433	234544482	+	234550541	NA	NA	NA	NA	NA								
chr1-4731	chr1	234543433	234544482	+	234550541	NA	NA	NA	NA	NA								
chr1-4734	chr1	234543433	234544482	+	234550541	NA	NA	NA	NA	NA								
chr1-4733	chr1	234543433	234544482	+	234550541	NA	NA	NA	NA	NA								
chr1-4730	chr1	234523280	234524048	+	234527886	NA	NA	NA	NA	NA								
chr1-4729	chr1	234523280	234524048	+	234527886	NA	NA	NA	NA	NA								
chr1-4727	chr1	234500203	234500423	+	234527886	NA	NA	NA	NA	NA								
chr1-4726	chr1	234499095	234499973	+	234527886	NA	NA	NA	NA	NA								
chr1-4725	chr1	234499095	234499973	+	234527886	NA	NA	NA	NA	NA								
chr1-4728	chr1	234523280	234524048	+	234527886	NA	NA	NA	NA	NA								
chr1-4724	chr1	234478167	234479326	+	234527886	NA	NA	NA	NA	NA								
chr1-4723	chr1	234478167	234479326	+	234527886	NA	NA	NA	NA	NA								
chr2-3269	chr2	234496517	234497649	+	234493040	NA	NA	NA	NA	NA								
chr2-3270	chr2	234496517	234497649	+	234493040	NA	NA	NA	NA	NA								
chr2-3271	chr2	234500363	234500752	+	234493040	NA	NA	NA	NA	NA								
chr2-3272	chr2	234550523	234551028	+	234493040	NA	NA	NA	NA	NA								
chr2-3268	chr2	234496517	234497649	+	234493040	NA	NA	NA	NA	NA								
chr2-3266	chr2	234285714	234285965	+	234329482	NA	NA	NA	NA	NA								
chr2-3267	chr2	234289016	234289263	+	234329482	NA	NA	NA	NA	NA								
chr2-3265	chr2	234128615	234128884	+	234109080	NA	NA	NA	NA	NA								
chr2-3262	chr2	234068076	234068725	+	234082258	NA	NA	NA	NA	NA								
chr2-3263	chr2	234072521	234072803	+	234082258	NA	NA	NA	NA	NA								
chr2-3264	chr2	234074141	234074452	+	234082258	NA	NA	NA	NA	NA								
chr2-3261	chr2	234015468	234015655	+	234050678	NA	NA	NA	NA	NA								
chr2-3259	chr2	233843885	233844903	+	233833415	NA	NA	NA	NA	NA								
chr2-3260	chr2	233843885	233844903	+	233833415	NA	NA	NA	NA	NA								
chr2-3258	chr2	233821038	233821535	+	233833415	NA	NA	NA	NA	NA								
chr2-3257	chr2	233566567	233566855	+	233585438	NA	NA	NA	NA	NA								
chr2-3256	chr2	233566397	233566870	+	233585438	NA	NA	NA	NA	NA								
chr2-3255	chr2	233565796	233566308	+	233585438	NA	NA	NA	NA	NA								
chr2-3254	chr2	233459819	233459989	+	233475519	NA	NA	NA	NA	NA								
chr2-3253	chr2	233447137	233447802	+	233475519	NA	NA	NA	NA	NA								
chr2-3247	chr2	233387437	233388313	+	233379842	NA	NA	NA	NA	NA								
chr2-3250	chr2	233409611	233410519	+	233379842	NA	NA	NA	NA	NA								
chr2-3249	chr2	233409611	233410519	+	233379842	NA	NA	NA	NA	NA								
chr2-3251	chr2	233418779	233419776	+	233379842	NA	NA	NA	NA	NA								
chr2-3252	chr2	233418779	233419776	+	233379842	NA	NA	NA	NA	NA								
chr2-3248	chr2	233390001	233390589	+	233379842	NA	NA	NA	NA	NA								
chr1-4722	chr1	233382215	233382649	+	233327723	NA	NA	NA	NA	NA								
chr1-4721	chr1	233331407	233331648	+	233327723	NA	NA	NA	NA	NA								
chr2-3246	chr2	233302206	233302805	+	233307815	NA	NA	NA	NA	NA								
chr1-4720	chr1	233240967	233241470	+	233288867	NA	NA	NA	NA	NA								
chr1-4719	chr1	233240967	233241470	+	233288867	NA	NA	NA	NA	NA								
chr2-3245	chr2	233292049	233292503	+	233288675	NA	NA	NA	NA	NA								
chr2-3241	chr2	233251276	233252318	+	233275726	NA	NA	NA	NA	NA								
chr2-3242	chr2	233261710	233262560	+	233275726	NA	NA	NA	NA	NA								
chr2-3240	chr2	233251276	233252318	+	233275726	NA	NA	NA	NA	NA								
chr2-3243	chr2	233261710	233262560	+	233275726	NA	NA	NA	NA	NA								
chr2-3244	chr2	233270459	233270896	+	233275726	NA	NA	NA	NA	NA								
chr2-3239	chr2	232928336	232928461	+	232878700	NA	NA	NA	NA	NA								
chr1-4714	chr1	232628681	232629101	+	232700203	NA	NA	NA	NA	NA								
chr1-4713	chr1	232565201	232565379	+	232700203	NA	NA	NA	NA	NA								
chr1-4718	chr1	232635753	232636051	+	232700203	NA	NA	NA	NA	NA								
chr1-4715	chr1	232628681	232629101	+	232700203	NA	NA	NA	NA	NA								
chr1-4717	chr1	232634056	232634527	+	232700203	NA	NA	NA	NA	NA								
chr1-4716	chr1	232634056	232634527	+	232700203	NA	NA	NA	NA	NA								
chr2-3237	chr2	232633302	232634232	+	232649848	NA	NA	NA	NA	NA								
chr2-3236	chr2	232633302	232634232	+	232649848	NA	NA	NA	NA	NA								
chr2-3238	chr2	232670089	232670882	+	232649848	NA	NA	NA	NA	NA								
chr2-3235	chr2	232633302	232634232	+	232649848	NA	NA	NA	NA	NA								
chr2-3234	chr2	232622036	232622296	+	232606056	NA	NA	NA	NA	NA								
