PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-3824	chr1	247331019	247332600	+	247332330	NA	NA	NA	NA	NA								
chr1-3828	chr1	247331019	247332600	+	247332330	NA	NA	NA	NA	NA								
chr1-3826	chr1	247331019	247332600	+	247332330	NA	NA	NA	NA	NA								
chr1-3823	chr1	247331019	247332600	+	247332053	NA	NA	NA	NA	NA								
chr1-3825	chr1	247331019	247332600	+	247332053	NA	NA	NA	NA	NA								
chr1-3829	chr1	247331019	247332600	+	247332053	NA	NA	NA	NA	NA								
chr1-3827	chr1	247331019	247332600	+	247332053	NA	NA	NA	NA	NA								
chr1-3822	chr1	247210183	247211149	+	247210690	NA	NA	NA	NA	NA								
chr1-3821	chr1	247210183	247211149	+	247210690	NA	NA	NA	NA	NA								
chr1-3820	chr1	247210183	247211149	+	247210690	NA	NA	NA	NA	NA								
chr1-3818	chr1	247111205	247112563	+	247110159	NA	NA	NA	NA	NA								
chr1-3817	chr1	247111205	247112563	+	247110159	NA	NA	NA	NA	NA								
chr1-3819	chr1	247111205	247112563	+	247110159	NA	NA	NA	NA	NA								
chr1-3816	chr1	247111205	247112563	+	247110159	NA	NA	NA	NA	NA								
chr1-3814	chr1	247103849	247104799	+	247105404	NA	NA	NA	NA	NA								
chr1-3815	chr1	247103849	247104799	+	247105404	NA	NA	NA	NA	NA								
chr1-3813	chr1	246947221	246947794	+	246945546	NA	NA	NA	NA	NA								
chr1-3812	chr1	246753822	246754357	+	246755510	NA	NA	NA	NA	NA								
chr1-3810	chr1	246723945	246725093	+	246724408	NA	NA	NA	NA	NA								
chr1-3811	chr1	246723945	246725093	+	246724408	NA	NA	NA	NA	NA								
chr1-3809	chr1	246723945	246725093	+	246724408	NA	NA	NA	NA	NA								
chr1-3808	chr1	246689316	246690036	+	246690046	NA	NA	NA	NA	NA								
chr1-3804	chr1	246565874	246567115	+	246566443	NA	NA	NA	NA	NA								
chr1-3805	chr1	246565874	246567115	+	246566443	NA	NA	NA	NA	NA								
chr1-3806	chr1	246565874	246567115	+	246566443	NA	NA	NA	NA	NA								
chr1-3807	chr1	246565874	246567115	+	246566443	NA	NA	NA	NA	NA								
chr1-3802	chr1	246506690	246507823	+	246509037	NA	NA	NA	NA	NA								
chr1-3801	chr1	246506690	246507823	+	246509037	NA	NA	NA	NA	NA								
chr1-3803	chr1	246506690	246507823	+	246509037	NA	NA	NA	NA	NA								
chr1-3798	chr1	245156114	245156910	+	245154984	NA	NA	NA	NA	NA								
chr1-3800	chr1	245156114	245156910	+	245154984	NA	NA	NA	NA	NA								
chr1-3799	chr1	245156114	245156910	+	245154984	NA	NA	NA	NA	NA								
chr1-3797	chr1	245045089	245046043	+	245043927	NA	NA	NA	NA	NA								
chr1-3796	chr1	245042724	245043085	+	245043927	NA	NA	NA	NA	NA								
chr1-3794	chr1	244969504	244971542	+	244969681	NA	NA	NA	NA	NA								
chr1-3793	chr1	244969504	244971542	+	244969681	NA	NA	NA	NA	NA								
chr1-3790	chr1	244969504	244971542	+	244969681	NA	NA	NA	NA	NA								
chr1-3795	chr1	244969504	244971542	+	244969681	NA	NA	NA	NA	NA								
chr1-3792	chr1	244969504	244971542	+	244969681	NA	NA	NA	NA	NA								
chr1-3791	chr1	244969504	244971542	+	244969681	NA	NA	NA	NA	NA								
chr1-3788	chr1	244864048	244864999	+	244863781	NA	NA	NA	NA	NA								
chr1-3787	chr1	244862905	244863931	+	244863781	NA	NA	NA	NA	NA								
chr1-3789	chr1	244864048	244864999	+	244863781	NA	NA	NA	NA	NA								
chr1-3785	chr1	244834421	244836028	+	244835615	NA	NA	NA	NA	NA								
chr1-3783	chr1	244834421	244836028	+	244835615	NA	NA	NA	NA	NA								
chr1-3784	chr1	244834421	244836028	+	244835615	NA	NA	NA	NA	NA								
chr1-3786	chr1	244834421	244836028	+	244835615	NA	NA	NA	NA	NA								
chr1-3780	chr1	244730138	244731033	+	244731023	NA	NA	NA	NA	NA								
chr1-3781	chr1	244730138	244731033	+	244731023	NA	NA	NA	NA	NA								
chr1-3782	chr1	244730138	244731033	+	244731023	NA	NA	NA	NA	NA								
chr1-3779	chr1	244652591	244653489	+	244653102	NA	NA	NA	NA	NA								
chr1-3778	chr1	244652591	244653489	+	244653102	NA	NA	NA	NA	NA								
chr1-3777	chr1	244599941	244600286	+	244598390	NA	NA	NA	NA	NA								
chr1-3776	chr1	244451082	244452417	+	244454376	NA	NA	NA	NA	NA								
chr1-3775	chr1	244451082	244452417	+	244454376	NA	NA	NA	NA	NA								
chr1-3774	chr1	244353785	244354168	+	244352634	NA	NA	NA	NA	NA								
chr1-3773	chr1	244067954	244068250	+	244068819	NA	NA	NA	NA	NA								
chr1-3770	chr1	244064662	244065043	+	244064329	NA	NA	NA	NA	NA								
chr1-3772	chr1	244065170	244065755	+	244064329	NA	NA	NA	NA	NA								
chr1-3771	chr1	244065170	244065755	+	244064329	NA	NA	NA	NA	NA								
chr1-3768	chr1	244047639	244048772	+	244048546	NA	NA	NA	NA	NA								
chr1-3769	chr1	244047639	244048772	+	244048546	NA	NA	NA	NA	NA								
chr1-3767	chr1	243917232	243917909	+	243917401	NA	NA	NA	NA	NA								
chr1-3765	chr1	243343994	243344345	+	243346175	NA	NA	NA	NA	NA								
chr1-3766	chr1	243345227	243345604	+	243346175	NA	NA	NA	NA	NA								
chr1-3764	chr1	243267506	243268200	+	243267256	NA	NA	NA	NA	NA								
chr1-3763	chr1	243267506	243268200	+	243267256	NA	NA	NA	NA	NA								
chr1-3756	chr1	243254344	243254736	+	243256033	NA	NA	NA	NA	NA								
chr1-3762	chr1	243254831	243256402	+	243256033	NA	NA	NA	NA	NA								
chr1-3761	chr1	243254831	243256402	+	243256033	NA	NA	NA	NA	NA								
chr1-3759	chr1	243254831	243256402	+	243256033	NA	NA	NA	NA	NA								
chr1-3760	chr1	243254831	243256402	+	243256033	NA	NA	NA	NA	NA								
chr1-3757	chr1	243254344	243254736	+	243256033	NA	NA	NA	NA	NA								
chr1-3758	chr1	243254831	243256402	+	243256033	NA	NA	NA	NA	NA								
chr2-2817	chr2	242088181	242088930	+	242088632	NA	NA	NA	NA	NA								
chr2-2818	chr2	242088181	242088930	+	242088632	NA	NA	NA	NA	NA								
chr2-2816	chr2	242085892	242086593	+	242086099	NA	NA	NA	NA	NA								
chr2-2814	chr2	241894865	241896545	+	241893987	NA	NA	NA	NA	NA								
chr2-2810	chr2	241892016	241892385	+	241893987	NA	NA	NA	NA	NA								
chr2-2813	chr2	241894865	241896545	+	241893987	NA	NA	NA	NA	NA								
chr2-2815	chr2	241894865	241896545	+	241893987	NA	NA	NA	NA	NA								
chr2-2812	chr2	241894865	241896545	+	241893987	NA	NA	NA	NA	NA								
chr2-2811	chr2	241894865	241896545	+	241893987	NA	NA	NA	NA	NA								
chr2-2809	chr2	241881181	241882713	+	241881362	NA	NA	NA	NA	NA								
chr2-2806	chr2	241881181	241882713	+	241881362	NA	NA	NA	NA	NA								
chr2-2807	chr2	241881181	241882713	+	241881362	NA	NA	NA	NA	NA								
chr2-2808	chr2	241881181	241882713	+	241881362	NA	NA	NA	NA	NA								
chr1-3755	chr1	241847616	241848456	+	241847966	NA	NA	NA	NA	NA								
chr1-3754	chr1	241847616	241848456	+	241847966	NA	NA	NA	NA	NA								
chr2-2802	chr2	241842667	241844505	+	241844379	NA	NA	NA	NA	NA								
chr2-2804	chr2	241842667	241844505	+	241844379	NA	NA	NA	NA	NA								
chr2-2803	chr2	241842667	241844505	+	241844379	NA	NA	NA	NA	NA								
chr2-2805	chr2	241842667	241844505	+	241844379	NA	NA	NA	NA	NA								
chr2-2801	chr2	241808780	241809310	+	241809064	NA	NA	NA	NA	NA								
chr2-2796	chr2	241734198	241735711	+	241734714	NA	NA	NA	NA	NA								
chr2-2798	chr2	241734198	241735711	+	241734714	NA	NA	NA	NA	NA								
chr2-2800	chr2	241734198	241735711	+	241734714	NA	NA	NA	NA	NA								
chr2-2797	chr2	241734198	241735711	+	241734601	NA	NA	NA	NA	NA								
chr2-2799	chr2	241734198	241735711	+	241734601	NA	NA	NA	NA	NA								
chr2-2795	chr2	241734198	241735711	+	241734601	NA	NA	NA	NA	NA								
chr2-2794	chr2	241686379	241687493	+	241687084	NA	NA	NA	NA	NA								
chr1-3752	chr1	241639678	241640760	+	241640554	NA	NA	NA	NA	NA								
chr1-3753	chr1	241639678	241640760	+	241640554	NA	NA	NA	NA	NA								
chr2-2789	chr2	241636353	241638134	+	241637212	NA	NA	NA	NA	NA								
chr2-2788	chr2	241636353	241638134	+	241637212	NA	NA	NA	NA	NA								
chr2-2790	chr2	241636353	241638134	+	241637212	NA	NA	NA	NA	NA								
chr2-2793	chr2	241636353	241638134	+	241637212	NA	NA	NA	NA	NA								
chr2-2792	chr2	241636353	241638134	+	241637212	NA	NA	NA	NA	NA								
chr2-2791	chr2	241636353	241638134	+	241637212	NA	NA	NA	NA	NA								
chr1-3749	chr1	241627444	241628291	+	241628850	NA	NA	NA	NA	NA								
chr1-3751	chr1	241627444	241628291	+	241628850	NA	NA	NA	NA	NA								
chr1-3750	chr1	241627444	241628291	+	241628850	NA	NA	NA	NA	NA								
chr2-2787	chr2	241552724	241553262	+	241551423	NA	NA	NA	NA	NA								
chr2-2786	chr2	241549754	241550815	+	241551423	NA	NA	NA	NA	NA								
chr2-2785	chr2	241549754	241550815	+	241551423	NA	NA	NA	NA	NA								
chr2-2783	chr2	241549754	241550815	+	241551423	NA	NA	NA	NA	NA								
chr2-2784	chr2	241549754	241550815	+	241551423	NA	NA	NA	NA	NA								
chr1-3742	chr1	241531229	241532520	+	241532133	NA	NA	NA	NA	NA								
chr1-3743	chr1	241531229	241532520	+	241532133	NA	NA	NA	NA	NA								
chr1-3744	chr1	241531229	241532520	+	241532133	NA	NA	NA	NA	NA								
chr1-3748	chr1	241533397	241534020	+	241532133	NA	NA	NA	NA	NA								
chr1-3745	chr1	241531229	241532520	+	241532133	NA	NA	NA	NA	NA								
chr1-3746	chr1	241532970	241533265	+	241532133	NA	NA	NA	NA	NA								
chr1-3747	chr1	241533397	241534020	+	241532133	NA	NA	NA	NA	NA								
chr2-2780	chr2	241507882	241509140	+	241508903	NA	NA	NA	NA	NA								
chr2-2781	chr2	241507882	241509140	+	241508903	NA	NA	NA	NA	NA								
chr2-2782	chr2	241507882	241509140	+	241508903	NA	NA	NA	NA	NA								
chr2-2778	chr2	241355065	241355668	+	241356284	NA	NA	NA	NA	NA								
chr2-2779	chr2	241355891	241356810	+	241356284	NA	NA	NA	NA	NA								
chr2-2774	chr2	241314853	241316519	+	241315099	NA	NA	NA	NA	NA								
chr2-2775	chr2	241314853	241316519	+	241315099	NA	NA	NA	NA	NA								
chr2-2777	chr2	241314853	241316519	+	241315099	NA	NA	NA	NA	NA								
chr2-2776	chr2	241314853	241316519	+	241315099	NA	NA	NA	NA	NA								
chr2-2770	chr2	241149195	241149880	+	241149575	NA	NA	NA	NA	NA								
chr2-2773	chr2	241149976	241150902	+	241149575	NA	NA	NA	NA	NA								
chr2-2772	chr2	241149976	241150902	+	241149575	NA	NA	NA	NA	NA								
chr2-2771	chr2	241149195	241149880	+	241149575	NA	NA	NA	NA	NA								
chr2-2769	chr2	241102047	241102743	+	241102450	NA	NA	NA	NA	NA								
chr2-2767	chr2	241009487	241010935	+	241010044	NA	NA	NA	NA	NA								
chr2-2768	chr2	241009487	241010935	+	241010044	NA	NA	NA	NA	NA								
chr2-2766	chr2	240998098	240999349	+	240998617	NA	NA	NA	NA	NA								
chr2-2764	chr2	240998098	240999349	+	240998617	NA	NA	NA	NA	NA								
chr2-2765	chr2	240998098	240999349	+	240998617	NA	NA	NA	NA	NA								
chr1-3741	chr1	240998472	240998878	+	240998450	NA	NA	NA	NA	NA								
chr2-2762	chr2	240886193	240887536	+	240886047	NA	NA	NA	NA	NA								
chr2-2761	chr2	240886193	240887536	+	240886047	NA	NA	NA	NA	NA								
chr2-2763	chr2	240886193	240887536	+	240886047	NA	NA	NA	NA	NA								
chr2-2759	chr2	240868207	240868985	+	240868823	NA	NA	NA	NA	NA								
chr2-2760	chr2	240868207	240868985	+	240868823	NA	NA	NA	NA	NA								
chr2-2758	chr2	240604155	240604988	+	240605429	NA	NA	NA	NA	NA								
chr2-2757	chr2	240604155	240604988	+	240605429	NA	NA	NA	NA	NA								
chr2-2755	chr2	240586119	240587123	+	240586733	NA	NA	NA	NA	NA								
chr2-2754	chr2	240586119	240587123	+	240586733	NA	NA	NA	NA	NA								
chr2-2756	chr2	240586119	240587123	+	240586733	NA	NA	NA	NA	NA								
chr2-2751	chr2	240565763	240566891	+	240565803	NA	NA	NA	NA	NA								
chr2-2752	chr2	240565763	240566891	+	240565803	NA	NA	NA	NA	NA								
chr2-2753	chr2	240565763	240566891	+	240565803	NA	NA	NA	NA	NA								
chr2-2749	chr2	240560152	240561519	+	240560053	NA	NA	NA	NA	NA								
chr2-2750	chr2	240560152	240561519	+	240560053	NA	NA	NA	NA	NA								
chr2-2748	chr2	240560152	240561519	+	240560053	NA	NA	NA	NA	NA								
chr2-2746	chr2	240435079	240436256	+	240435662	NA	NA	NA	NA	NA								
chr2-2747	chr2	240435079	240436256	+	240435662	NA	NA	NA	NA	NA								
chr2-2745	chr2	240435079	240436256	+	240435662	NA	NA	NA	NA	NA								
chr1-3740	chr1	239912511	239913577	+	239915438	NA	NA	NA	NA	NA								
chr1-3739	chr1	239912511	239913577	+	239915438	NA	NA	NA	NA	NA								
chr1-3738	chr1	239897835	239898502	+	239898015	NA	NA	NA	NA	NA								
chr2-2742	chr2	239400551	239402019	+	239401435	NA	NA	NA	NA	NA								
chr2-2743	chr2	239400551	239402019	+	239401435	NA	NA	NA	NA	NA								
chr2-2744	chr2	239400551	239402019	+	239401435	NA	NA	NA	NA	NA								
chr1-3735	chr1	239386276	239387686	+	239386564	NA	NA	NA	NA	NA								
chr1-3734	chr1	239386276	239387686	+	239386564	NA	NA	NA	NA	NA								
chr1-3737	chr1	239386276	239387686	+	239386564	NA	NA	NA	NA	NA								
chr1-3736	chr1	239386276	239387686	+	239386564	NA	NA	NA	NA	NA								
chr2-2737	chr2	238426190	238427568	+	238427076	NA	NA	NA	NA	NA								
chr2-2739	chr2	238426190	238427568	+	238427076	NA	NA	NA	NA	NA								
chr2-2735	chr2	238426190	238427568	+	238427076	NA	NA	NA	NA	NA								
chr2-2741	chr2	238426190	238427568	+	238427076	NA	NA	NA	NA	NA								
chr2-2736	chr2	238426190	238427568	+	238426741	NA	NA	NA	NA	NA								
chr2-2738	chr2	238426190	238427568	+	238426741	NA	NA	NA	NA	NA								
chr2-2734	chr2	238426190	238427568	+	238426741	NA	NA	NA	NA	NA								
chr2-2740	chr2	238426190	238427568	+	238426741	NA	NA	NA	NA	NA								
chr1-3733	chr1	238324544	238324847	+	238325686	NA	NA	NA	NA	NA								
chr2-2733	chr2	238320123	238321143	+	238320440	NA	NA	NA	NA	NA								
chr2-2732	chr2	238320123	238321143	+	238320440	NA	NA	NA	NA	NA								
chr2-2729	chr2	238288257	238289435	+	238289126	NA	NA	NA	NA	NA								
chr2-2730	chr2	238288257	238289435	+	238289126	NA	NA	NA	NA	NA								
chr2-2731	chr2	238288257	238289435	+	238289126	NA	NA	NA	NA	NA								
chr2-2728	chr2	238239157	238240526	+	238238266	NA	NA	NA	NA	NA								
chr2-2726	chr2	238231250	238232000	+	238231683	NA	NA	NA	NA	NA								
chr2-2727	chr2	238231250	238232000	+	238231683	NA	NA	NA	NA	NA								
chr2-2724	chr2	238136882	238137809	+	238138667	NA	NA	NA	NA	NA								
chr2-2725	chr2	238136882	238137809	+	238138667	NA	NA	NA	NA	NA								
chr2-2722	chr2	238098188	238099227	+	238100339	NA	NA	NA	NA	NA								
chr2-2721	chr2	238098188	238099227	+	238100339	NA	NA	NA	NA	NA								
chr2-2723	chr2	238098188	238099227	+	238100339	NA	NA	NA	NA	NA								
chr2-2720	chr2	238060391	238061416	+	238060923	NA	NA	NA	NA	NA								
chr2-2719	chr2	237968557	237968900	+	237967013	NA	NA	NA	NA	NA								
chr2-2716	chr2	237966468	237967606	+	237967013	NA	NA	NA	NA	NA								
chr2-2714	chr2	237966468	237967606	+	237967013	NA	NA	NA	NA	NA								
chr2-2718	chr2	237966468	237967606	+	237967013	NA	NA	NA	NA	NA								
chr2-2717	chr2	237966468	237967606	+	237966826	NA	NA	NA	NA	NA								
chr2-2713	chr2	237966468	237967606	+	237966826	NA	NA	NA	NA	NA								
chr2-2715	chr2	237966468	237967606	+	237966826	NA	NA	NA	NA	NA								
chr2-2710	chr2	237923186	237923974	+	237923436	NA	NA	NA	NA	NA								
chr2-2712	chr2	237923186	237923974	+	237923436	NA	NA	NA	NA	NA								
chr2-2711	chr2	237923186	237923974	+	237923436	NA	NA	NA	NA	NA								
chr2-2709	chr2	237858253	237858803	+	237858892	NA	NA	NA	NA	NA								
chr2-2706	chr2	237626910	237628247	+	237627586	NA	NA	NA	NA	NA								
chr2-2707	chr2	237626910	237628247	+	237627586	NA	NA	NA	NA	NA								
chr2-2704	chr2	237625137	237625763	+	237627586	NA	NA	NA	NA	NA								
chr2-2703	chr2	237625137	237625763	+	237627586	NA	NA	NA	NA	NA								
chr2-2705	chr2	237626910	237628247	+	237627586	NA	NA	NA	NA	NA								
chr2-2708	chr2	237626910	237628247	+	237627586	NA	NA	NA	NA	NA								
chr2-2702	chr2	237590211	237591238	+	237591019	NA	NA	NA	NA	NA								
chr2-2701	chr2	237590211	237591238	+	237591019	NA	NA	NA	NA	NA								
chr2-2700	chr2	237590211	237591238	+	237591019	NA	NA	NA	NA	NA								
chr2-2698	chr2	237571984	237572641	+	237574321	NA	NA	NA	NA	NA								
chr2-2697	chr2	237571984	237572641	+	237574321	NA	NA	NA	NA	NA								
chr2-2699	chr2	237573267	237573623	+	237574321	NA	NA	NA	NA	NA								
chr2-2696	chr2	237566821	237567176	+	237566573	NA	NA	NA	NA	NA								
chr2-2695	chr2	237512792	237513438	+	237510930	NA	NA	NA	NA	NA								
chr2-2694	chr2	237512792	237513438	+	237510930	NA	NA	NA	NA	NA								
chr2-2693	chr2	237486889	237487863	+	237485693	NA	NA	NA	NA	NA								
chr2-2691	chr2	237486889	237487863	+	237485693	NA	NA	NA	NA	NA								
chr2-2692	chr2	237486889	237487863	+	237485693	NA	NA	NA	NA	NA								
chr2-2690	chr2	237421593	237422035	+	237421419	NA	NA	NA	NA	NA								
chr2-2688	chr2	237085191	237086363	+	237085881	NA	NA	NA	NA	NA								
chr2-2687	chr2	237085191	237086363	+	237085881	NA	NA	NA	NA	NA								
chr2-2689	chr2	237085191	237086363	+	237085881	NA	NA	NA	NA	NA								
chr1-3730	chr1	236794844	236795946	+	236795259	NA	NA	NA	NA	NA								
chr1-3731	chr1	236794844	236795946	+	236795259	NA	NA	NA	NA	NA								
chr1-3732	chr1	236794844	236795946	+	236795259	NA	NA	NA	NA	NA								
chr2-2684	chr2	236732047	236732823	+	236733288	NA	NA	NA	NA	NA								
chr2-2685	chr2	236732047	236732823	+	236733288	NA	NA	NA	NA	NA								
chr2-2686	chr2	236732047	236732823	+	236733288	NA	NA	NA	NA	NA								
chr2-2680	chr2	236567604	236568627	+	236567786	NA	NA	NA	NA	NA								
chr2-2683	chr2	236569507	236569976	+	236567786	NA	NA	NA	NA	NA								
chr2-2682	chr2	236567604	236568627	+	236567786	NA	NA	NA	NA	NA								
chr2-2681	chr2	236567604	236568627	+	236567786	NA	NA	NA	NA	NA								
chr1-3729	chr1	236535675	236536149	+	236536161	NA	NA	NA	NA	NA								
chr1-3722	chr1	236522987	236525086	+	236523051	NA	NA	NA	NA	NA								
chr1-3723	chr1	236522987	236525086	+	236523051	NA	NA	NA	NA	NA								
chr1-3724	chr1	236522987	236525086	+	236523051	NA	NA	NA	NA	NA								
chr1-3728	chr1	236522987	236525086	+	236523051	NA	NA	NA	NA	NA								
chr1-3725	chr1	236522987	236525086	+	236523051	NA	NA	NA	NA	NA								
chr1-3726	chr1	236522987	236525086	+	236523051	NA	NA	NA	NA	NA								
chr1-3727	chr1	236522987	236525086	+	236523051	NA	NA	NA	NA	NA								
chr1-3721	chr1	236142051	236143429	+	236142504	NA	NA	NA	NA	NA								
chr1-3718	chr1	236142051	236143429	+	236142504	NA	NA	NA	NA	NA								
chr1-3720	chr1	236142051	236143429	+	236142504	NA	NA	NA	NA	NA								
chr1-3717	chr1	236142051	236143429	+	236142504	NA	NA	NA	NA	NA								
chr1-3719	chr1	236142051	236143429	+	236142504	NA	NA	NA	NA	NA								
chr1-3714	chr1	236109142	236109985	+	236110060	NA	NA	NA	NA	NA								
chr1-3715	chr1	236109142	236109985	+	236110060	NA	NA	NA	NA	NA								
chr1-3716	chr1	236109142	236109985	+	236110060	NA	NA	NA	NA	NA								
chr1-3713	chr1	236058752	236059411	+	236060676	NA	NA	NA	NA	NA								
chr1-3712	chr1	235917182	235917814	+	235915414	NA	NA	NA	NA	NA								
chr1-3711	chr1	235917182	235917814	+	235915414	NA	NA	NA	NA	NA								
chr2-2679	chr2	235505239	235505802	+	235505552	NA	NA	NA	NA	NA								
chr2-2677	chr2	235493552	235495030	+	235494042	NA	NA	NA	NA	NA								
chr2-2676	chr2	235493552	235495030	+	235494042	NA	NA	NA	NA	NA								
chr2-2678	chr2	235493552	235495030	+	235494042	NA	NA	NA	NA	NA								
chr1-3710	chr1	235367094	235367839	+	235367359	NA	NA	NA	NA	NA								
chr1-3709	chr1	235367094	235367839	+	235367359	NA	NA	NA	NA	NA								
chr1-3708	chr1	235336851	235337301	+	235336805	NA	NA	NA	NA	NA								
chr1-3705	chr1	235327818	235329114	+	235328569	NA	NA	NA	NA	NA								
chr1-3706	chr1	235327818	235329114	+	235328569	NA	NA	NA	NA	NA								
chr1-3707	chr1	235327818	235329114	+	235328569	NA	NA	NA	NA	NA								
chr1-3702	chr1	235160728	235161809	+	235161320	NA	NA	NA	NA	NA								
chr1-3704	chr1	235160728	235161809	+	235161320	NA	NA	NA	NA	NA								
chr1-3703	chr1	235160728	235161809	+	235161320	NA	NA	NA	NA	NA								
chr1-3701	chr1	235128364	235129231	+	235127802	NA	NA	NA	NA	NA								
chr1-3700	chr1	235128364	235129231	+	235127802	NA	NA	NA	NA	NA								
chr1-3699	chr1	235104212	235105020	+	235104179	NA	NA	NA	NA	NA								
chr1-3698	chr1	235104212	235105020	+	235104179	NA	NA	NA	NA	NA								
chr1-3697	chr1	235062360	235063371	+	235064926	NA	NA	NA	NA	NA								
chr1-3696	chr1	235062360	235063371	+	235064926	NA	NA	NA	NA	NA								
chr1-3695	chr1	234980578	234981321	+	234978813	NA	NA	NA	NA	NA								
chr1-3693	chr1	234978467	234979148	+	234978813	NA	NA	NA	NA	NA								
chr1-3694	chr1	234980578	234981321	+	234978813	NA	NA	NA	NA	NA								
chr1-3692	chr1	234978467	234979148	+	234978813	NA	NA	NA	NA	NA								
chr1-3691	chr1	234957413	234957715	+	234957341	NA	NA	NA	NA	NA								
chr1-3690	chr1	234955063	234955680	+	234957230	NA	NA	NA	NA	NA								
chr2-2675	chr2	234951291	234953072	+	234952016	NA	NA	NA	NA	NA								
chr2-2673	chr2	234951291	234953072	+	234952016	NA	NA	NA	NA	NA								
chr2-2674	chr2	234951291	234953072	+	234952016	NA	NA	NA	NA	NA								
chr1-3689	chr1	234772838	234773107	+	234771522	NA	NA	NA	NA	NA								
chr1-3688	chr1	234772357	234772749	+	234771522	NA	NA	NA	NA	NA								
chr1-3687	chr1	234755322	234755777	+	234757618	NA	NA	NA	NA	NA								
chr1-3686	chr1	234723313	234725101	+	234724041	NA	NA	NA	NA	NA								
chr1-3684	chr1	234723313	234725101	+	234724041	NA	NA	NA	NA	NA								
chr1-3683	chr1	234723313	234725101	+	234724041	NA	NA	NA	NA	NA								
chr1-3685	chr1	234723313	234725101	+	234724041	NA	NA	NA	NA	NA								
chr1-3682	chr1	234723313	234725101	+	234724041	NA	NA	NA	NA	NA								
chr2-2672	chr2	234680022	234680849	+	234682667	NA	NA	NA	NA	NA								
chr1-3681	chr1	234670839	234671434	+	234669522	NA	NA	NA	NA	NA								
chr1-3680	chr1	234643071	234643713	+	234644665	NA	NA	NA	NA	NA								
chr1-3679	chr1	234608115	234608418	+	234607007	NA	NA	NA	NA	NA								
chr1-3678	chr1	234599700	234600885	+	234599567	NA	NA	NA	NA	NA								
chr1-3677	chr1	234599700	234600885	+	234599567	NA	NA	NA	NA	NA								
