PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr2-1739	chr2	241636442	241638239	+	241637212	NA	NA	NA	NA	NA								
chr2-1738	chr2	241636442	241638239	+	241637212	NA	NA	NA	NA	NA								
chr1-2694	chr1	241532153	241532544	+	241532133	NA	NA	NA	NA	NA								
chr1-2693	chr1	241531672	241532080	+	241532133	NA	NA	NA	NA	NA								
chr2-1735	chr2	241507222	241508827	+	241508903	NA	NA	NA	NA	NA								
chr2-1734	chr2	241507222	241508827	+	241508903	NA	NA	NA	NA	NA								
chr1-2691	chr1	241498266	241499425	+	241497510	NA	NA	NA	NA	NA								
chr1-2692	chr1	241498266	241499425	+	241497510	NA	NA	NA	NA	NA								
chr1-2690	chr1	241412692	241412991	+	241413715	NA	NA	NA	NA	NA								
chr1-2689	chr1	241356352	241357523	+	241357342	NA	NA	NA	NA	NA								
chr1-2688	chr1	241356352	241357523	+	241357342	NA	NA	NA	NA	NA								
chr2-1731	chr2	241314640	241316417	+	241315099	NA	NA	NA	NA	NA								
chr2-1729	chr2	241314640	241316417	+	241315099	NA	NA	NA	NA	NA								
chr2-1732	chr2	241314640	241316417	+	241315099	NA	NA	NA	NA	NA								
chr2-1730	chr2	241314640	241316417	+	241315099	NA	NA	NA	NA	NA								
chr2-1733	chr2	241316436	241316758	+	241315099	NA	NA	NA	NA	NA								
chr2-1728	chr2	240998336	240999512	+	240998617	NA	NA	NA	NA	NA								
chr2-1726	chr2	240998336	240999512	+	240998617	NA	NA	NA	NA	NA								
chr2-1727	chr2	240998336	240999512	+	240998617	NA	NA	NA	NA	NA								
chr2-1725	chr2	240983352	240983628	+	240981514	NA	NA	NA	NA	NA								
chr2-1724	chr2	240868387	240869360	+	240868823	NA	NA	NA	NA	NA								
chr2-1723	chr2	240868387	240869360	+	240868823	NA	NA	NA	NA	NA								
chr2-1722	chr2	240587547	240587818	+	240586733	NA	NA	NA	NA	NA								
chr2-1721	chr2	240585902	240587093	+	240586733	NA	NA	NA	NA	NA								
chr2-1720	chr2	240435496	240436309	+	240435662	NA	NA	NA	NA	NA								
chr1-2687	chr1	240400215	240400757	+	240400670	NA	NA	NA	NA	NA								
chr1-2685	chr1	239898040	239898470	+	239898015	NA	NA	NA	NA	NA								
chr1-2686	chr1	239898040	239898470	+	239898015	NA	NA	NA	NA	NA								
chr2-1717	chr2	239399934	239401850	+	239401435	NA	NA	NA	NA	NA								
chr2-1716	chr2	239399431	239399799	+	239401435	NA	NA	NA	NA	NA								
chr2-1719	chr2	239399934	239401850	+	239401435	NA	NA	NA	NA	NA								
chr2-1718	chr2	239399934	239401850	+	239401435	NA	NA	NA	NA	NA								
chr2-1715	chr2	238787537	238787939	+	238788647	NA	NA	NA	NA	NA								
chr2-1712	chr2	238425712	238427638	+	238427076	NA	NA	NA	NA	NA								
chr2-1708	chr2	238425712	238427638	+	238427076	NA	NA	NA	NA	NA								
chr2-1710	chr2	238425712	238427638	+	238427076	NA	NA	NA	NA	NA								
chr2-1714	chr2	238425712	238427638	+	238427076	NA	NA	NA	NA	NA								
chr2-1711	chr2	238425712	238427638	+	238426741	NA	NA	NA	NA	NA								
chr2-1707	chr2	238425712	238427638	+	238426741	NA	NA	NA	NA	NA								
chr2-1713	chr2	238425712	238427638	+	238426741	NA	NA	NA	NA	NA								
chr2-1709	chr2	238425712	238427638	+	238426741	NA	NA	NA	NA	NA								
chr2-1706	chr2	238294460	238294958	+	238295391	NA	NA	NA	NA	NA								
chr2-1705	chr2	238288983	238289380	+	238289126	NA	NA	NA	NA	NA								
chr2-1704	chr2	238286949	238287250	+	238289126	NA	NA	NA	NA	NA								
chr2-1701	chr2	238239011	238240706	+	238238266	NA	NA	NA	NA	NA								
chr2-1703	chr2	238239011	238240706	+	238238266	NA	NA	NA	NA	NA								
chr2-1702	chr2	238239011	238240706	+	238238266	NA	NA	NA	NA	NA								
chr2-1700	chr2	238239011	238240706	+	238238266	NA	NA	NA	NA	NA								
chr2-1699	chr2	238239011	238240706	+	238238266	NA	NA	NA	NA	NA								
chr2-1697	chr2	238100090	238100844	+	238100339	NA	NA	NA	NA	NA								
chr2-1698	chr2	238100090	238100844	+	238100339	NA	NA	NA	NA	NA								
chr2-1696	chr2	237966778	237968830	+	237967013	NA	NA	NA	NA	NA								
chr2-1688	chr2	237966778	237968830	+	237967013	NA	NA	NA	NA	NA								
chr2-1694	chr2	237966778	237968830	+	237967013	NA	NA	NA	NA	NA								
chr2-1690	chr2	237966778	237968830	+	237967013	NA	NA	NA	NA	NA								
chr2-1692	chr2	237966778	237968830	+	237967013	NA	NA	NA	NA	NA								
chr2-1695	chr2	237966778	237968830	+	237966826	NA	NA	NA	NA	NA								
chr2-1691	chr2	237966778	237968830	+	237966826	NA	NA	NA	NA	NA								
chr2-1689	chr2	237966778	237968830	+	237966826	NA	NA	NA	NA	NA								
chr2-1693	chr2	237966778	237968830	+	237966826	NA	NA	NA	NA	NA								
chr2-1687	chr2	237966778	237968830	+	237966826	NA	NA	NA	NA	NA								
chr2-1686	chr2	237858441	237859898	+	237858892	NA	NA	NA	NA	NA								
chr2-1685	chr2	237858441	237859898	+	237858892	NA	NA	NA	NA	NA								
chr2-1684	chr2	237627471	237627976	+	237627586	NA	NA	NA	NA	NA								
chr2-1683	chr2	237590190	237591124	+	237591019	NA	NA	NA	NA	NA								
chr2-1682	chr2	237590190	237591124	+	237591019	NA	NA	NA	NA	NA								
chr2-1681	chr2	237572029	237572513	+	237574321	NA	NA	NA	NA	NA								
chr2-1680	chr2	237486940	237487646	+	237485693	NA	NA	NA	NA	NA								
chr2-1679	chr2	237085732	237086164	+	237085881	NA	NA	NA	NA	NA								
chr1-2684	chr1	237041735	237042375	+	237042183	NA	NA	NA	NA	NA								
chr1-2683	chr1	237041735	237042375	+	237042183	NA	NA	NA	NA	NA								
chr1-2682	chr1	236795046	236796311	+	236795259	NA	NA	NA	NA	NA								
chr2-1677	chr2	236569610	236570090	+	236567786	NA	NA	NA	NA	NA								
chr2-1678	chr2	236569610	236570090	+	236567786	NA	NA	NA	NA	NA								
chr1-2680	chr1	236538334	236539178	+	236540093	NA	NA	NA	NA	NA								
chr1-2681	chr1	236538334	236539178	+	236540093	NA	NA	NA	NA	NA								
chr1-2679	chr1	236538334	236539178	+	236540093	NA	NA	NA	NA	NA								
chr2-1675	chr2	236154966	236156131	+	236153070	NA	NA	NA	NA	NA								
chr2-1676	chr2	236154966	236156131	+	236153070	NA	NA	NA	NA	NA								
chr1-2677	chr1	236142721	236143033	+	236142504	NA	NA	NA	NA	NA								
chr1-2678	chr1	236142721	236143033	+	236142504	NA	NA	NA	NA	NA								
chr2-1672	chr2	235504766	235505783	+	235505552	NA	NA	NA	NA	NA								
chr2-1673	chr2	235504766	235505783	+	235505552	NA	NA	NA	NA	NA								
chr2-1674	chr2	235504766	235505783	+	235505552	NA	NA	NA	NA	NA								
chr2-1671	chr2	235495575	235496268	+	235494042	NA	NA	NA	NA	NA								
chr2-1669	chr2	235493562	235494495	+	235494042	NA	NA	NA	NA	NA								
chr2-1670	chr2	235495575	235496268	+	235494042	NA	NA	NA	NA	NA								
chr1-2666	chr1	235326602	235329173	+	235328569	NA	NA	NA	NA	NA								
chr1-2676	chr1	235326602	235329173	+	235328569	NA	NA	NA	NA	NA								
chr1-2668	chr1	235326602	235329173	+	235328569	NA	NA	NA	NA	NA								
chr1-2674	chr1	235326602	235329173	+	235328569	NA	NA	NA	NA	NA								
chr1-2664	chr1	235326602	235329173	+	235328569	NA	NA	NA	NA	NA								
chr1-2672	chr1	235326602	235329173	+	235328569	NA	NA	NA	NA	NA								
chr1-2670	chr1	235326602	235329173	+	235328569	NA	NA	NA	NA	NA								
chr1-2667	chr1	235326602	235329173	+	235327349	NA	NA	NA	NA	NA								
chr1-2671	chr1	235326602	235329173	+	235327349	NA	NA	NA	NA	NA								
chr1-2665	chr1	235326602	235329173	+	235327349	NA	NA	NA	NA	NA								
chr1-2675	chr1	235326602	235329173	+	235327349	NA	NA	NA	NA	NA								
chr1-2663	chr1	235326602	235329173	+	235327349	NA	NA	NA	NA	NA								
chr1-2673	chr1	235326602	235329173	+	235327349	NA	NA	NA	NA	NA								
chr1-2669	chr1	235326602	235329173	+	235327349	NA	NA	NA	NA	NA								
chr1-2661	chr1	235127775	235129205	+	235127802	NA	NA	NA	NA	NA								
chr1-2662	chr1	235127775	235129205	+	235127802	NA	NA	NA	NA	NA								
chr1-2660	chr1	235127775	235129205	+	235127802	NA	NA	NA	NA	NA								
chr1-2656	chr1	235061651	235063496	+	235064926	NA	NA	NA	NA	NA								
chr1-2655	chr1	235061651	235063496	+	235064926	NA	NA	NA	NA	NA								
chr1-2657	chr1	235061651	235063496	+	235064926	NA	NA	NA	NA	NA								
chr1-2658	chr1	235061651	235063496	+	235064926	NA	NA	NA	NA	NA								
chr1-2659	chr1	235061651	235063496	+	235064926	NA	NA	NA	NA	NA								
chr1-2654	chr1	234978587	234979259	+	234978813	NA	NA	NA	NA	NA								
chr1-2653	chr1	234978587	234979259	+	234978813	NA	NA	NA	NA	NA								
chr1-2651	chr1	234957480	234958270	+	234957341	NA	NA	NA	NA	NA								
chr1-2652	chr1	234957480	234958270	+	234957341	NA	NA	NA	NA	NA								
chr1-2649	chr1	234955074	234955633	+	234957230	NA	NA	NA	NA	NA								
chr1-2648	chr1	234955074	234955633	+	234957230	NA	NA	NA	NA	NA								
chr1-2650	chr1	234956945	234957256	+	234957230	NA	NA	NA	NA	NA								
chr2-1667	chr2	234951623	234953048	+	234952016	NA	NA	NA	NA	NA								
chr2-1666	chr2	234951623	234953048	+	234952016	NA	NA	NA	NA	NA								
chr2-1668	chr2	234951623	234953048	+	234952016	NA	NA	NA	NA	NA								
chr1-2645	chr1	234724418	234725095	+	234724041	NA	NA	NA	NA	NA								
chr1-2647	chr1	234725475	234726354	+	234724041	NA	NA	NA	NA	NA								
chr1-2646	chr1	234724418	234725095	+	234724041	NA	NA	NA	NA	NA								
chr1-2644	chr1	234658047	234658655	+	234660270	NA	NA	NA	NA	NA								
chr1-2642	chr1	234607290	234607596	+	234607007	NA	NA	NA	NA	NA								
chr1-2643	chr1	234608053	234608325	+	234607007	NA	NA	NA	NA	NA								
chr1-2641	chr1	234603871	234604168	+	234604268	NA	NA	NA	NA	NA								
chr1-2640	chr1	234600444	234600981	+	234599567	NA	NA	NA	NA	NA								
chr1-2639	chr1	234599372	234599666	+	234599567	NA	NA	NA	NA	NA								
chr1-2638	chr1	234591469	234592100	+	234593274	NA	NA	NA	NA	NA								
chr1-2637	chr1	234564459	234565097	+	234565297	NA	NA	NA	NA	NA								
chr1-2636	chr1	234534629	234534901	+	234535962	NA	NA	NA	NA	NA								
chr1-2635	chr1	234283111	234283569	+	234284971	NA	NA	NA	NA	NA								
chr1-2634	chr1	234283111	234283569	+	234284971	NA	NA	NA	NA	NA								
chr1-2633	chr1	234212803	234213086	+	234212605	NA	NA	NA	NA	NA								
chr2-1665	chr2	234052055	234052277	+	234050678	NA	NA	NA	NA	NA								
chr2-1664	chr2	233915101	233915517	+	233917372	NA	NA	NA	NA	NA								
chr2-1661	chr2	233832618	233834262	+	233833415	NA	NA	NA	NA	NA								
chr2-1662	chr2	233832618	233834262	+	233833415	NA	NA	NA	NA	NA								
chr2-1660	chr2	233832618	233834262	+	233833415	NA	NA	NA	NA	NA								
chr2-1663	chr2	233832618	233834262	+	233833415	NA	NA	NA	NA	NA								
chr2-1657	chr2	233760008	233760539	+	233760269	NA	NA	NA	NA	NA								
chr2-1659	chr2	233760616	233761325	+	233760269	NA	NA	NA	NA	NA								
chr2-1658	chr2	233760616	233761325	+	233760269	NA	NA	NA	NA	NA								
chr2-1655	chr2	233690573	233691109	+	233691606	NA	NA	NA	NA	NA								
chr2-1656	chr2	233692238	233692444	+	233691606	NA	NA	NA	NA	NA								
chr2-1654	chr2	233690573	233691109	+	233691606	NA	NA	NA	NA	NA								
chr2-1653	chr2	233544402	233544635	+	233545481	NA	NA	NA	NA	NA								
chr1-2632	chr1	233448359	233448588	+	233448625	NA	NA	NA	NA	NA								
chr2-1651	chr2	233354012	233356582	+	233354493	NA	NA	NA	NA	NA								
chr2-1649	chr2	233354012	233356582	+	233354493	NA	NA	NA	NA	NA								
chr2-1650	chr2	233354012	233356582	+	233354493	NA	NA	NA	NA	NA								
chr2-1652	chr2	233354012	233356582	+	233354493	NA	NA	NA	NA	NA								
chr2-1648	chr2	233013113	233014366	+	233012613	NA	NA	NA	NA	NA								
chr2-1647	chr2	233013113	233014366	+	233012613	NA	NA	NA	NA	NA								
chr1-2631	chr1	232805351	232806229	+	232805415	NA	NA	NA	NA	NA								
chr2-1644	chr2	232696938	232698273	+	232697298	NA	NA	NA	NA	NA								
chr2-1643	chr2	232696938	232698273	+	232697298	NA	NA	NA	NA	NA								
chr2-1646	chr2	232696938	232698273	+	232697298	NA	NA	NA	NA	NA								
chr2-1645	chr2	232696938	232698273	+	232697298	NA	NA	NA	NA	NA								
chr2-1642	chr2	232551587	232551844	+	232550658	NA	NA	NA	NA	NA								
chr2-1640	chr2	232523809	232524502	+	232525992	NA	NA	NA	NA	NA								
chr2-1641	chr2	232523809	232524502	+	232525992	NA	NA	NA	NA	NA								
chr2-1639	chr2	232521996	232522362	+	232520387	NA	NA	NA	NA	NA								
chr2-1638	chr2	232521996	232522362	+	232520387	NA	NA	NA	NA	NA								
chr2-1635	chr2	231780931	231781909	+	231781670	NA	NA	NA	NA	NA								
chr2-1637	chr2	231780931	231781909	+	231781670	NA	NA	NA	NA	NA								
chr2-1636	chr2	231780931	231781909	+	231781670	NA	NA	NA	NA	NA								
chr2-1632	chr2	231714490	231715652	+	231713313	NA	NA	NA	NA	NA								
chr2-1634	chr2	231714490	231715652	+	231713313	NA	NA	NA	NA	NA								
chr2-1633	chr2	231714490	231715652	+	231713313	NA	NA	NA	NA	NA								
chr2-1628	chr2	231709481	231710429	+	231711524	NA	NA	NA	NA	NA								
chr2-1631	chr2	231710644	231711100	+	231711524	NA	NA	NA	NA	NA								
chr2-1629	chr2	231709481	231710429	+	231711524	NA	NA	NA	NA	NA								
chr2-1630	chr2	231709481	231710429	+	231711524	NA	NA	NA	NA	NA								
chr2-1624	chr2	231707544	231708604	+	231706894	NA	NA	NA	NA	NA								
chr2-1626	chr2	231707544	231708604	+	231706894	NA	NA	NA	NA	NA								
chr2-1627	chr2	231707544	231708604	+	231706894	NA	NA	NA	NA	NA								
chr2-1625	chr2	231707544	231708604	+	231706894	NA	NA	NA	NA	NA								
chr1-2630	chr1	231527947	231529332	+	231528652	NA	NA	NA	NA	NA								
chr1-2629	chr1	231527947	231529332	+	231528540	NA	NA	NA	NA	NA								
chr1-2628	chr1	231240301	231241917	+	231241206	NA	NA	NA	NA	NA								
chr2-1623	chr2	231197889	231199025	+	231198545	NA	NA	NA	NA	NA								
chr2-1622	chr2	231197889	231199025	+	231198545	NA	NA	NA	NA	NA								
chr1-2627	chr1	231162204	231162740	+	231162057	NA	NA	NA	NA	NA								
chr2-1617	chr2	231056453	231056714	+	231056844	NA	NA	NA	NA	NA								
chr2-1620	chr2	231056779	231057833	+	231056844	NA	NA	NA	NA	NA								
chr2-1619	chr2	231056779	231057833	+	231056844	NA	NA	NA	NA	NA								
chr2-1621	chr2	231056779	231057833	+	231056844	NA	NA	NA	NA	NA								
chr2-1618	chr2	231056779	231057833	+	231056844	NA	NA	NA	NA	NA								
chr2-1615	chr2	231050300	231051119	+	231052039	NA	NA	NA	NA	NA								
chr2-1616	chr2	231050300	231051119	+	231052039	NA	NA	NA	NA	NA								
chr2-1611	chr2	231037174	231039668	+	231037522	NA	NA	NA	NA	NA								
chr2-1612	chr2	231037174	231039668	+	231037522	NA	NA	NA	NA	NA								
chr2-1614	chr2	231037174	231039668	+	231037522	NA	NA	NA	NA	NA								
chr2-1613	chr2	231037174	231039668	+	231037522	NA	NA	NA	NA	NA								
chr2-1610	chr2	230990323	230991344	+	230990323	NA	NA	NA	NA	NA								
chr2-1608	chr2	230990323	230991344	+	230990323	NA	NA	NA	NA	NA								
chr2-1609	chr2	230990323	230991344	+	230990323	NA	NA	NA	NA	NA								
chr1-2624	chr1	230867112	230867773	+	230868258	NA	NA	NA	NA	NA								
chr1-2625	chr1	230867112	230867773	+	230868258	NA	NA	NA	NA	NA								
chr1-2626	chr1	230867867	230868755	+	230868258	NA	NA	NA	NA	NA								
chr2-1606	chr2	230865603	230866334	+	230864638	NA	NA	NA	NA	NA								
chr2-1605	chr2	230865603	230866334	+	230864638	NA	NA	NA	NA	NA								
chr2-1607	chr2	230865603	230866334	+	230864638	NA	NA	NA	NA	NA								
chr2-1604	chr2	230864670	230865405	+	230864638	NA	NA	NA	NA	NA								
chr2-1603	chr2	230864670	230865405	+	230864638	NA	NA	NA	NA	NA								
chr1-2623	chr1	230837047	230837484	+	230837118	NA	NA	NA	NA	NA								
chr2-1601	chr2	230712616	230714309	+	230712841	NA	NA	NA	NA	NA								
chr2-1599	chr2	230712616	230714309	+	230712841	NA	NA	NA	NA	NA								
chr2-1600	chr2	230712616	230714309	+	230712841	NA	NA	NA	NA	NA								
chr2-1602	chr2	230712616	230714309	+	230712841	NA	NA	NA	NA	NA								
chr1-2622	chr1	230425449	230426890	+	230426490	NA	NA	NA	NA	NA								
chr1-2620	chr1	230425449	230426890	+	230426490	NA	NA	NA	NA	NA								
chr1-2621	chr1	230425449	230426890	+	230426490	NA	NA	NA	NA	NA								
chr1-2617	chr1	230279905	230281836	+	230280311	NA	NA	NA	NA	NA								
chr1-2618	chr1	230279905	230281836	+	230280311	NA	NA	NA	NA	NA								
chr1-2619	chr1	230279905	230281836	+	230280311	NA	NA	NA	NA	NA								
chr2-1598	chr2	229922428	229923207	+	229922301	NA	NA	NA	NA	NA								
chr2-1596	chr2	229922428	229923207	+	229922301	NA	NA	NA	NA	NA								
chr2-1595	chr2	229921876	229922319	+	229922301	NA	NA	NA	NA	NA								
chr2-1597	chr2	229922428	229923207	+	229922301	NA	NA	NA	NA	NA								
chr2-1594	chr2	229765681	229766104	+	229763836	NA	NA	NA	NA	NA								
chr1-2616	chr1	229625004	229626327	+	229626246	NA	NA	NA	NA	NA								
chr1-2615	chr1	229551286	229551605	+	229549904	NA	NA	NA	NA	NA								
chr1-2611	chr1	229269924	229271809	+	229271061	NA	NA	NA	NA	NA								
chr1-2614	chr1	229272303	229273306	+	229271061	NA	NA	NA	NA	NA								
chr1-2613	chr1	229272303	229273306	+	229271061	NA	NA	NA	NA	NA								
chr1-2609	chr1	229269924	229271809	+	229271061	NA	NA	NA	NA	NA								
chr1-2610	chr1	229269924	229271809	+	229271061	NA	NA	NA	NA	NA								
chr1-2612	chr1	229272303	229273306	+	229271061	NA	NA	NA	NA	NA								
chr1-2608	chr1	229269924	229271809	+	229271061	NA	NA	NA	NA	NA								
chr2-1593	chr2	229238279	229239421	+	229236339	NA	NA	NA	NA	NA								
chr2-1592	chr2	229238279	229239421	+	229236339	NA	NA	NA	NA	NA								
chr2-1591	chr2	229238279	229239421	+	229236339	NA	NA	NA	NA	NA								
chr1-2605	chr1	228735265	228736691	+	228735478	NA	NA	NA	NA	NA								
chr1-2607	chr1	228735265	228736691	+	228735478	NA	NA	NA	NA	NA								
chr1-2606	chr1	228735265	228736691	+	228735478	NA	NA	NA	NA	NA								
chr1-2604	chr1	228688044	228688435	+	228687414	NA	NA	NA	NA	NA								
chr2-1590	chr2	228681502	228681965	+	228683536	NA	NA	NA	NA	NA								
chr2-1589	chr2	228681502	228681965	+	228683536	NA	NA	NA	NA	NA								
chr1-2603	chr1	228486827	228488302	+	228487381	NA	NA	NA	NA	NA								
chr1-2602	chr1	228165470	228166665	+	228165803	NA	NA	NA	NA	NA								
chr1-2601	chr1	228148482	228148914	+	228149929	NA	NA	NA	NA	NA								
chr1-2599	chr1	228108359	228109219	+	228106678	NA	NA	NA	NA	NA								
chr1-2600	chr1	228108359	228109219	+	228106678	NA	NA	NA	NA	NA								
chr1-2598	chr1	228082434	228083270	+	228082707	NA	NA	NA	NA	NA								
chr1-2597	chr1	228073571	228074188	+	228073908	NA	NA	NA	NA	NA								
chr2-1586	chr2	227471791	227473155	+	227472151	NA	NA	NA	NA	NA								
chr2-1588	chr2	227471791	227473155	+	227472151	NA	NA	NA	NA	NA								
chr2-1585	chr2	227471791	227473155	+	227472131	NA	NA	NA	NA	NA								
chr2-1587	chr2	227471791	227473155	+	227472131	NA	NA	NA	NA	NA								
chr2-1584	chr2	227324987	227326214	+	227325150	NA	NA	NA	NA	NA								
chr2-1583	chr2	227324987	227326214	+	227325150	NA	NA	NA	NA	NA								
chr2-1582	chr2	227324987	227326214	+	227325150	NA	NA	NA	NA	NA								
chr2-1579	chr2	227163884	227164957	+	227164623	NA	NA	NA	NA	NA								
chr2-1581	chr2	227163884	227164957	+	227164623	NA	NA	NA	NA	NA								
chr2-1580	chr2	227163884	227164957	+	227164623	NA	NA	NA	NA	NA								
chr1-2595	chr1	226870142	226871378	+	226870183	NA	NA	NA	NA	NA								
chr1-2596	chr1	226870142	226871378	+	226870183	NA	NA	NA	NA	NA								
chr2-1578	chr2	226835405	226836533	+	226835580	NA	NA	NA	NA	NA								
chr2-1573	chr2	226798119	226798599	+	226800145	NA	NA	NA	NA	NA								
chr2-1574	chr2	226798119	226798599	+	226800145	NA	NA	NA	NA	NA								
chr2-1577	chr2	226798651	226800184	+	226800145	NA	NA	NA	NA	NA								
chr2-1575	chr2	226798651	226800184	+	226800145	NA	NA	NA	NA	NA								
chr2-1576	chr2	226798651	226800184	+	226800145	NA	NA	NA	NA	NA								
chr2-1569	chr2	226732860	226733999	+	226731311	NA	NA	NA	NA	NA								
chr2-1572	chr2	226732860	226733999	+	226731311	NA	NA	NA	NA	NA								
chr2-1570	chr2	226732860	226733999	+	226731311	NA	NA	NA	NA	NA								
chr2-1571	chr2	226732860	226733999	+	226731311	NA	NA	NA	NA	NA								
chr1-2592	chr1	226657920	226658807	+	226656079	NA	NA	NA	NA	NA								
chr1-2594	chr1	226657920	226658807	+	226656079	NA	NA	NA	NA	NA								
chr1-2593	chr1	226657920	226658807	+	226656079	NA	NA	NA	NA	NA								
chr1-2591	chr1	226547775	226548002	+	226548763	NA	NA	NA	NA	NA								
chr1-2590	chr1	226186077	226187213	+	226188869	NA	NA	NA	NA	NA								
chr1-2589	chr1	226186077	226187213	+	226188869	NA	NA	NA	NA	NA								
chr1-2588	chr1	226186077	226187213	+	226188869	NA	NA	NA	NA	NA								
chr1-2585	chr1	226061427	226063328	+	226061850	NA	NA	NA	NA	NA								
